scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.149024,7626,408067,Khanum,Butter ghee,"Geklaarde boter, afkomstig uit India. Zeer geschikt om in te bakken en braden Een hoog rookpunt Lang houdbaar na opening","['Geen lactose' 'Laag zout' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Veganistisch' 'Laag suiker'
 'Geen schelpdieren (schaaldieren)' 'Vegetarisch' 'Geen eieren'
 'Geen noten' 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet'
 'Geen selderij' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Geen gluten']","Ontbijtgranen en beleg Zuivel plantaardig en eieren Boter
 Boter voor de keuken Bak- en braadboter (vast)","khanum [SEP] butter ghee [SEP] Geklaarde boter, afkomstig uit India. Zeer geschikt om in te bakken en braden Een hoog rookpunt Lang houdbaar na opening [SEP] bakproducten",khanum butter ghee bakproducten,null,null,null
0.14777377,7616,236492,Heinz,Sandwich Spread Pikante Groenten,Fris broodbeleg dat je boterham verfrissend anders maakt. Heinz sandwich spread pikante groenten is perfect voor de lunch en wordt gemaakt met hoge kwaliteit ingredienten die je van Heinz gewend bent. Bevat meer dan 30% groenten Zonder conserveermiddelen Een verrassende variatie op de boterham Voor het hele gezin,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen selderij' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen mosterd' 'Geen gluten']","Ontbijtgranen en beleg Kaas vleeswaren tapas Hartig broodbeleg
 Smeersels & dips Spread Groentespread",heinz [SEP] sandwich spread pikante groenten [SEP] Fris broodbeleg dat je boterham verfrissend anders maakt. Heinz sandwich spread pikante groenten is perfect voor de lunch en wordt gemaakt met hoge kwaliteit ingredienten die je van Heinz gewend bent. Bevat meer dan 30% groenten Zonder conserveermiddelen Een verrassende variatie op de boterham Voor het hele gezin [SEP] spreads,heinz sandwich spread pikante groenten spreads,null,null,null
0.14304662,2806,187155,Heinz,Sandwich spread komkommer,Fris broodbeleg dat je boterham verfrissend anders maakt. Heinz sandwich spread komkommer is perfect voor de lunch en wordt gemaakt met hoge kwaliteit ingredienten die je van Heinz gewend bent. Bevat meer dan 30% groenten Zonder conserveermiddelen Een verrassende variatie op de boterham Voor het hele gezin,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen selderij' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen noten' 'Geen mosterd' 'Geen eieren' 'Geen gluten']","Ontbijtgranen en beleg Kaas vleeswaren tapas Hartig broodbeleg
 Smeersels & dips Spread Groentespread",heinz [SEP] sandwich spread komkommer [SEP] Fris broodbeleg dat je boterham verfrissend anders maakt. Heinz sandwich spread komkommer is perfect voor de lunch en wordt gemaakt met hoge kwaliteit ingredienten die je van Heinz gewend bent. Bevat meer dan 30% groenten Zonder conserveermiddelen Een verrassende variatie op de boterham Voor het hele gezin [SEP] spreads,heinz sandwich spread komkommer spreads,null,null,null
0.13898505,1724,236489,Heinz,Sandwich spread fijne tuinkruiden,Fris broodbeleg dat je boterham verfrissend anders maakt. Heinz sandwich spread fijne tuinkruiden is perfect voor lunch en wordt gemaakt met hoge kwaliteit ingredienten die je van Heinz gewend bent. Bevat meer dan 30% groenten Zonder conserveermiddelen Een verrassende variatie op de boterham Voor het hele gezin,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen selderij' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen mosterd' 'Vegetarisch' 'Geen gluten']","Ontbijtgranen en beleg Kaas vleeswaren tapas Hartig broodbeleg
 Smeersels & dips Spread Groentespread",heinz [SEP] sandwich spread fijne tuinkruiden [SEP] Fris broodbeleg dat je boterham verfrissend anders maakt. Heinz sandwich spread fijne tuinkruiden is perfect voor lunch en wordt gemaakt met hoge kwaliteit ingredienten die je van Heinz gewend bent. Bevat meer dan 30% groenten Zonder conserveermiddelen Een verrassende variatie op de boterham Voor het hele gezin [SEP] spreads,heinz sandwich spread fijne tuinkruiden spreads,null,null,null
0.1371324,15833,237846,Knorr,Kerriesaus,"Zacht en romig van smaak Met een milde kerrie smaak Zonder toegevoegde smaakversterkers, kunstmatige kleurstoffen of conserveermiddelen Deze saus zet je in een handomdraai op tafel!","['Geen gluten' 'Geen lactose' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Laag suiker'
 'Geen selderij' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen noten' 'Geen mosterd'
 'Geen eieren']","Soepen sauzen kruiden olie Sauzen Groentesaus Vleessaus
 Kerriesauzen","knorr [SEP] kerriesaus [SEP] Zacht en romig van smaak Met een milde kerrie smaak Zonder toegevoegde smaakversterkers, kunstmatige kleurstoffen of conserveermiddelen Deze saus zet je in een handomdraai op tafel! [SEP] sauzen warm nat",knorr kerriesaus sauzen warm nat,null,null,null
0.13080168,15730,515727,Jude's,99 Cookie dough brownie,Jude's 99 plant based cookie dough brownie ice cream. Award winning for great taste Carbon negative Bcorp business as a force for good,"['Geen gluten' 'Geen lactose' 'Geen noten'
 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen selderij'
 'Geen eieren']","Diepvries Zuivel plantaardig en eieren IJs Toetjes Roomijs
 Roomijs premium",jude's [SEP] 99 cookie dough brownie [SEP] Jude's 99 plant based cookie dough brownie ice cream. Award winning for great taste Carbon negative Bcorp business as a force for good [SEP] premiumijs,jude's 99 cookie dough brownie premiumijs,null,null,null
0.13020411,5856,159521,Knorr,Mix roomsaus,"Een heerlijke roomsaus om groenten lekkerder mee te maken. Heerlijk romige saus voor over groenten Lekker bij prei, spinazie en spruitjes Zonder toegevoegde smaakversterkers Snel en makkelijk","['Geen gluten' 'Geen lactose' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Laag suiker'
 'Geen selderij' 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen noten' 'Geen mosterd'
 'Vegetarisch' 'Geen eieren']",Soepen sauzen kruiden olie Sauzen Groentesaus Roomsaus,"knorr [SEP] mix roomsaus [SEP] Een heerlijke roomsaus om groenten lekkerder mee te maken. Heerlijk romige saus voor over groenten Lekker bij prei, spinazie en spruitjes Zonder toegevoegde smaakversterkers Snel en makkelijk [SEP] sauzen warm droog",knorr mix roomsaus sauzen warm droog,null,null,null
0.129996,9093,236488,Heinz,Sandwich spread naturel,Fris broodbeleg dat je boterham verfrissend anders maakt. Heinz sandwich spread naturel is perfect voor de lunch en wordt gemaakt met hoge kwaliteit ingredienten die je van Heinz gewend bent. Bevat meer dan 30% groenten Zonder conserveermiddelen Een verrassende variatie op de boterham Voor het hele gezin,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen selderij' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen mosterd' 'Geen gluten']","Ontbijtgranen en beleg Kaas vleeswaren tapas Hartig broodbeleg
 Smeersels & dips Spread Groentespread",heinz [SEP] sandwich spread naturel [SEP] Fris broodbeleg dat je boterham verfrissend anders maakt. Heinz sandwich spread naturel is perfect voor de lunch en wordt gemaakt met hoge kwaliteit ingredienten die je van Heinz gewend bent. Bevat meer dan 30% groenten Zonder conserveermiddelen Een verrassende variatie op de boterham Voor het hele gezin [SEP] spreads,heinz sandwich spread naturel spreads,null,null,null
0.129996,8607,236486,Heinz,Sandwich spread naturel,Fris broodbeleg dat je boterham verfrissend anders maakt. Heinz sandwich spread naturel is perfect voor de lunch en wordt gemaakt met hoge kwaliteit ingredienten die je van Heinz gewend bent. Bevat meer dan 30% groenten Zonder conserveermiddelen Een verrassende variatie op de boterham Voor het hele gezin,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen selderij' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen mosterd' 'Geen gluten']","Ontbijtgranen en beleg Kaas vleeswaren tapas Hartig broodbeleg
 Smeersels & dips Spread Groentespread",heinz [SEP] sandwich spread naturel [SEP] Fris broodbeleg dat je boterham verfrissend anders maakt. Heinz sandwich spread naturel is perfect voor de lunch en wordt gemaakt met hoge kwaliteit ingredienten die je van Heinz gewend bent. Bevat meer dan 30% groenten Zonder conserveermiddelen Een verrassende variatie op de boterham Voor het hele gezin [SEP] spreads,heinz sandwich spread naturel spreads,null,null,null
0.12991272,160,149900,Honig,Mix voor groentesaus milde kerrie,"Honig milde kerriesaus voor over de groenten, handig voor 4 porties. Groentesaus milde kerrie voor 4 personen Bereiding: direct strooibaar in heet water en kookvocht Geef meer smaak aan je groente met de Honig groentesaus milde kerrie De vertrouwde smaak van honig","['Geen gluten' 'Geen lactose' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Laag suiker'
 'Geen selderij' 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Geen sulfiet'
 'Geen sesam' 'Laag vet' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen mosterd' 'Vegetarisch']","Soepen sauzen kruiden olie Sauzen Groentesaus Vleessaus
 Kerriesauzen","honig [SEP] mix voor groentesaus milde kerrie [SEP] Honig milde kerriesaus voor over de groenten, handig voor 4 porties. Groentesaus milde kerrie voor 4 personen Bereiding: direct strooibaar in heet water en kookvocht Geef meer smaak aan je groente met de Honig groentesaus milde kerrie De vertrouwde smaak van honig [SEP] sauzen warm droog",honig mix voor groentesaus milde kerrie sauzen warm droog,null,null,null
