scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.27696672,6938,546725,AH Glutenvrij,Goudse kaaskoekjes,,"['Geen lactose' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Vegetarisch' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Geen lupine' 'Nutri-Score E'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen selderij'
 'Geen gluten']","Bewuste voeding Snoep koek chips en chocolade Glutenvrij Koek
 Koek chips tussendoortjes Glutenvrije koek",ah glutenvrij [SEP] goudse kaaskoekjes [SEP]  [SEP] hartige snacks,ah glutenvrij goudse kaaskoekjes hartige snacks,null,null,null
0.26768768,10635,407798,AH Glutenvrij,Cakemix,"Bak zelf een lekkere, luchtige cake met deze glutenvrije cakemix op basis van rijstmeel en maismeel. Glutenvrij Zelf margarine en ei toevoegen Versieren naar keuze","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet' 'Geen mosterd'
 'Geen lactose' 'Nutri-Score D' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Pasta rijst en wereldkeuken Bewuste voeding Bakkerij en banket
 Snoep koek chips en chocolade Zelf bakken Glutenvrij
 Bakproducten Glutenvrije bakproducten Bakkerij glutenvrij
 Bakproducten (glutenvrij) Bak mixen Zoete bakmix (glutenvrij)","ah glutenvrij [SEP] cakemix [SEP] Bak zelf een lekkere, luchtige cake met deze glutenvrije cakemix op basis van rijstmeel en maismeel. Glutenvrij Zelf margarine en ei toevoegen Versieren naar keuze [SEP] bakmixen",ah glutenvrij cakemix bakmixen,null,null,null
0.25502533,9509,509341,AH Glutenvrij,Pistolets wit,,"['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Laag vet' 'Geen mosterd' 'Geen lactose' 'Nutri-Score C' 'Geen sulfiet'
 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen selderij' 'Geen eieren'
 'Geen gluten']","Bewuste voeding Bakkerij en banket Glutenvrij koolhydraatarm
 Glutenvrij Brood Bakkerij glutenvrij Brood (glutenvrij)
 Glutenvrij brood",ah glutenvrij [SEP] pistolets wit [SEP]  [SEP] brood,ah glutenvrij pistolets wit brood,null,null,null
0.24780315,468,228417,AH Glutenvrij,Luchtige crackers,"Luchtige en knapperige crackers voor ontbijt of als tussendoortje Vrij van gluten De Vrij van gluten-producten van Albert Heijn zijn zorgvuldig ontwikkeld voor mensen met een intolerantie of sensitiviteit voor gluten, voldoen aan de wettelijke eisen en zijn bovendien heerlijk van smaak.","['Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Laag suiker'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Geen mosterd'
 'Nutri-Score B' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen selderij' 'Geen gluten']","Ontbijtgranen en beleg Bewuste voeding Glutenvrij
 Crackers rijstwafels Ontbijtgranen crackers
 Glutenvrije crackers knackebrod","ah glutenvrij [SEP] luchtige crackers [SEP] Luchtige en knapperige crackers voor ontbijt of als tussendoortje Vrij van gluten De Vrij van gluten-producten van Albert Heijn zijn zorgvuldig ontwikkeld voor mensen met een intolerantie of sensitiviteit voor gluten, voldoen aan de wettelijke eisen en zijn bovendien heerlijk van smaak. [SEP] broodvervangers",ah glutenvrij luchtige crackers broodvervangers,null,null,null
0.24647222,3469,487230,AH,Macadamiamix ongezouten,"Een heerlijke mix van macadamia's, cashews en pecans Lekker voor op de borrel of tijdens een feestje Ook zo uit het vuistje Makkelijk afsluitbaar","['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Laag vet' 'Geen mosterd' 'Geen lactose' 'Nutri-Score C' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen selderij'
 'Geen gluten']","Snoep koek chips en chocolade Noten Noten in zak
 Diverse (zakje)","ah [SEP] macadamiamix ongezouten [SEP] Een heerlijke mix van macadamia's, cashews en pecans Lekker voor op de borrel of tijdens een feestje Ook zo uit het vuistje Makkelijk afsluitbaar [SEP] ongezouten noten",ah macadamiamix ongezouten ongezouten noten,null,null,null
0.2413398,4528,516643,Schär,Crumble cake mix,"Glutenvrije bakmix voor kruimeltaarten. Speciaal bereid voor personen met een glutenintolerantie Glutenvrij, tarwevrij, lactosevrij","['Geen melk' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Bakkerij en banket Snoep koek chips en chocolade Zelf bakken
 Bakmix Cakemix","schär [SEP] crumble cake mix [SEP] Glutenvrije bakmix voor kruimeltaarten. Speciaal bereid voor personen met een glutenintolerantie Glutenvrij, tarwevrij, lactosevrij [SEP] bakmixen",schär crumble cake mix bakmixen,null,null,null
0.23875886,3061,140744,AH,Notenmix ongezouten,"Notenmix naturel, ongezouten.","['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Laag vet' 'Geen mosterd' 'Geen lactose' 'Nutri-Score B' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen selderij'
 'Geen gluten']","Snoep koek chips en chocolade Noten Noten in bakje
 Notenmix (bakje)","ah [SEP] notenmix ongezouten [SEP] Notenmix naturel, ongezouten. [SEP] ongezouten noten",ah notenmix ongezouten ongezouten noten,null,null,null
0.23485604,8194,509286,AH Glutenvrij,Kampioentjes,,"['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Laag vet' 'Geen mosterd' 'Geen lactose' 'Nutri-Score B' 'Geen sulfiet'
 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen selderij' 'Geen eieren'
 'Geen gluten']","Bewuste voeding Bakkerij en banket Glutenvrij koolhydraatarm
 Glutenvrij Brood Bakkerij glutenvrij Brood (glutenvrij)
 Glutenvrij brood",ah glutenvrij [SEP] kampioentjes [SEP]  [SEP] brood,ah glutenvrij kampioentjes brood,null,null,null
0.23274803,16220,494117,AH Glutenvrij,Vezelrijke kaascrackers,Knapperige crackers met kaas Glutenvrij,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score D' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen eieren' 'Geen gluten']","Ontbijtgranen en beleg Bewuste voeding Glutenvrij
 Crackers rijstwafels Ontbijtgranen crackers
 Glutenvrije crackers knackebrod",ah glutenvrij [SEP] vezelrijke kaascrackers [SEP] Knapperige crackers met kaas Glutenvrij [SEP] broodvervangers,ah glutenvrij vezelrijke kaascrackers broodvervangers,null,null,null
0.22742037,5092,228424,Schär,Mini baguette glutenvrij,"Heerlijke, witte pistoletjes om zelf af te bakken Gluten-, tarwe- en lactosevrij.","['Geen melk' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)' 'Geen vis'
 'Laag suiker' 'Vegetarisch' ""Geen pinda's"" 'Laag vet' 'Geen lupine'
 'Geen lactose' 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen mosterd' 'Geen selderij' 'Geen gluten']","Kerst Bewuste voeding Bakkerij en banket
 Glutenvrij koolhydraatarm Kerstontbijt Glutenvrij Afbakbrood
 Bakkerij glutenvrij Thuis afbakken (glutenvrij)
 Glutenvrije afbakbroodjes","schär [SEP] mini baguette glutenvrij [SEP] Heerlijke, witte pistoletjes om zelf af te bakken Gluten-, tarwe- en lactosevrij. [SEP] brood",schär mini baguette glutenvrij brood,null,null,null
