scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.163495,16210,202874,Schär,Pausa ciok glutenvrij,Biscuitscakejes met zachte melkcrème omhuld met melkchocolade Gluten- en tarwevrij.,"['Geen lactose' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen noten' 'Geen selderij' 'Geen eieren' 'Geen gluten']","Bewuste voeding Snoep koek chips en chocolade Glutenvrij Koek
 Koek chips tussendoortjes Glutenvrije koek",schär [SEP] pausa ciok glutenvrij [SEP] Biscuitscakejes met zachte melkcrème omhuld met melkchocolade Gluten- en tarwevrij. [SEP] zoete snacks,schär pausa ciok glutenvrij zoete snacks,null,null,null
0.14545897,6648,231965,Consenza,Rundvleeskroketten gv,Met de snacks van Consenza kan je lekker gluten en tarwevrij snacken. Van scharrelrundvlees Met een knapperige korst 4 kroketten per verpakking MSG vrij,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Geen selderij' ""Geen pinda's"" 'Laag vet' 'Geen lupine'
 'Geen lactose' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen mosterd' 'Vegetarisch' 'Geen gluten']","Diepvries Bewuste voeding Glutenvrij Diepvries glutenvrij
 Glutenvrije snacks (diepvries)",consenza [SEP] rundvleeskroketten gv [SEP] Met de snacks van Consenza kan je lekker gluten en tarwevrij snacken. Van scharrelrundvlees Met een knapperige korst 4 kroketten per verpakking MSG vrij [SEP] glutenvrij,consenza rundvleeskroketten gv glutenvrij,null,null,null
0.14058937,6448,474787,Candyman,Mac Bubble,De enige echte mac bubble. Candyman al jaren de specialist in anders snoepen,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Snoep koek chips en chocolade Snoep Harde snoep Trakteren
 Lollies",candyman [SEP] mac bubble [SEP] De enige echte mac bubble. Candyman al jaren de specialist in anders snoepen [SEP] snoep,candyman mac bubble snoep,null,null,null
0.1355998,6683,408042,Schär,Meergranenbroodjes glutenvrij,"Glutenvrije, vezelrijke meergranenbroodjes met lijnzaad en zonnebloempitten. Glutenvrij Tarwevrij Lactosevrij Vezelrijk","['Geen melk' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)' 'Geen vis'
 'Laag suiker' 'Vegetarisch' ""Geen pinda's"" 'Laag vet' 'Geen lupine'
 'Geen lactose' 'Geen sulfiet' 'Geen sesam' 'Veganistisch' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen mosterd' 'Geen selderij' 'Geen gluten']","Kerst Bewuste voeding Bakkerij en banket
 Glutenvrij koolhydraatarm Kerstontbijt Glutenvrij Afbakbrood
 Bakkerij glutenvrij Thuis afbakken (glutenvrij)
 Glutenvrije afbakbroodjes","schär [SEP] meergranenbroodjes glutenvrij [SEP] Glutenvrije, vezelrijke meergranenbroodjes met lijnzaad en zonnebloempitten. Glutenvrij Tarwevrij Lactosevrij Vezelrijk [SEP] brood",schär meergranenbroodjes glutenvrij brood,null,null,null
0.13377097,17493,550453,Schär,Yogo cake,"Glutenvrije cakejes met magere yoghurt. Yoghurt cakejes met zeer zachte textuur Past binnen een glutenvrij dieet Glutenvrij, tarwevrije en lactosevrij",['Laag zout' 'Veganistisch' 'Laag suiker' 'Vegetarisch' 'Laag vet'],Snoep koek chips en chocolade Koek Cake Cakejes,"schär [SEP] yogo cake [SEP] Glutenvrije cakejes met magere yoghurt. Yoghurt cakejes met zeer zachte textuur Past binnen een glutenvrij dieet Glutenvrij, tarwevrije en lactosevrij [SEP] zoete snacks",schär yogo cake zoete snacks,null,null,null
0.13224146,7157,516682,Schär,Butter cookies,"Heerlijke glutenvrije zandkoekjes. Per 3 koekjes verpakt, handig om mee te nemen Speciaal bereid voor personen met een glutenintolerantie Glutenvrij","['Laag zout' 'Geen lactose' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Vegetarisch'
 'Geen eieren' 'Geen noten' ""Geen pinda's"" 'Geen melk' 'Laag vet'
 'Geen selderij' 'Geen mosterd' 'Geen lupine' 'Geen sulfiet' 'Geen sesam'
 'Geen gluten']","Bewuste voeding Snoep koek chips en chocolade Glutenvrij Koek
 Koek chips tussendoortjes Glutenvrije koek","schär [SEP] butter cookies [SEP] Heerlijke glutenvrije zandkoekjes. Per 3 koekjes verpakt, handig om mee te nemen Speciaal bereid voor personen met een glutenintolerantie Glutenvrij [SEP] biscuits",schär butter cookies biscuits,null,null,null
0.13142774,7504,407824,Schär,Choco chip cookies glutenvrij,"De Choco Chip Cookies van Schär zijn krokante, glutenvrije koekjes met chocolade. Onweerstaanbaar lekker! Glutenvrij Tarwevrij 12% chocolade","['Geen lactose' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)'
 'Geen vis' 'Vegetarisch' ""Geen pinda's"" 'Geen melk' 'Laag vet'
 'Geen mosterd' 'Geen lupine' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Bewuste voeding Snoep koek chips en chocolade Glutenvrij Koek
 Koek chips tussendoortjes Glutenvrije koek","schär [SEP] choco chip cookies glutenvrij [SEP] De Choco Chip Cookies van Schär zijn krokante, glutenvrije koekjes met chocolade. Onweerstaanbaar lekker! Glutenvrij Tarwevrij 12% chocolade [SEP] biscuits",schär choco chip cookies glutenvrij biscuits,null,null,null
0.1299777,14597,482480,Schär,Curvies original,"Glutenvrije zoute chips van aardappel. Speciaal bereid voor personen met een glutenintolerantie Glutenvrij, lactosevrij, tarwevrij Zonder palmolie","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Bewuste voeding Snoep koek chips en chocolade Glutenvrij Chips
 Zoutjes Koek chips tussendoortjes Glutenvrije chips","schär [SEP] curvies original [SEP] Glutenvrije zoute chips van aardappel. Speciaal bereid voor personen met een glutenintolerantie Glutenvrij, lactosevrij, tarwevrij Zonder palmolie [SEP] hartige snacks",schär curvies original hartige snacks,null,null,null
0.12435973,1327,37019,AH,Cashewnoten ongezouten,"Cashewnoten extra groot, ongezouten.","['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Nutri-Score C' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen selderij' 'Geen gluten']","Snoep koek chips en chocolade Noten Noten in bakje
 Cashewnoten (bakje)","ah [SEP] cashewnoten ongezouten [SEP] Cashewnoten extra groot, ongezouten. [SEP] ongezouten noten",ah cashewnoten ongezouten ongezouten noten,null,null,null
0.12234658,10093,197092,Calgon,3 In 1 Wasmachinereiniger en anti kalk,Calgon 3 in 1 gel wasmachinereiniger en anti kalk biedt 100% bescherming tegen kalk en zorgt voor een perfect schone wasmachine. Elimineert geurtjes voor een frisse wasmachine. Gaat de ophoping van kalkaanslag op vitale delen van je wasmachine tegen Verwijdert kalkaanslag om de prestaties van je wasmachine te behouden Machines gaan 2 keer langer mee Elimineert geuren en houdt je wasmachine fris,['Laag zout' 'Laag vet' 'Laag suiker'],Huishouden Wasmiddelen wasverzachters Wasmachine reiniger,calgon [SEP] 3 in 1 wasmachinereiniger en anti kalk [SEP] Calgon 3 in 1 gel wasmachinereiniger en anti kalk biedt 100% bescherming tegen kalk en zorgt voor een perfect schone wasmachine. Elimineert geurtjes voor een frisse wasmachine. Gaat de ophoping van kalkaanslag op vitale delen van je wasmachine tegen Verwijdert kalkaanslag om de prestaties van je wasmachine te behouden Machines gaan 2 keer langer mee Elimineert geuren en houdt je wasmachine fris [SEP] machine reiniger,calgon 3 in 1 wasmachinereiniger en anti kalk machine reiniger,null,null,null
