scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.5853305,18431,496587,2Wine,White,"Een droge witte wijn boordevol geurig fruit en met knisperende zuren. Precies wat je van een sauvignon blanc verwacht, alleen nu in een handig, licht blikje van 25 cl. Net zo lekker en eco-friendly. Kleur, smaak: Wit, fris en droog Druivenras: Sauvignon blanc Land, streek: Frankrijk Lekker bij: Salade, vis","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Geen sesam' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Wijn en bubbels Wijnflesjes (klein) Witte wijn Witte wijn (klein),"2wine [SEP] white [SEP] Een droge witte wijn boordevol geurig fruit en met knisperende zuren. Precies wat je van een sauvignon blanc verwacht, alleen nu in een handig, licht blikje van 25 cl. Net zo lekker en eco-friendly. Kleur, smaak: Wit, fris en droog Druivenras: Sauvignon blanc Land, streek: Frankrijk Lekker bij: Salade, vis [SEP] wit",2wine white wit,null,null,null
0.5804838,18864,369556,Villebois,Sauvignon Blanc,"Een wijn waar het fruit uitspat! Doet denken aan de intense aromatische Nieuw-Zeelandse Sauvignon Blanc. Opwekkend met tonen van citrus, gemaaid gras en kruisbessen. Zeer toegankelijk van smaak. Een ideale wijn voor bij het aperitief en bij geitenkazen. Deze wijn won een gouden médaille bij het concours mondial Bruxelles en een zilveren médaille bij de International Wine Challenge.",[],"Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Frankrijk)","villebois [SEP] sauvignon blanc [SEP] Een wijn waar het fruit uitspat! Doet denken aan de intense aromatische Nieuw-Zeelandse Sauvignon Blanc. Opwekkend met tonen van citrus, gemaaid gras en kruisbessen. Zeer toegankelijk van smaak. Een ideale wijn voor bij het aperitief en bij geitenkazen. Deze wijn won een gouden médaille bij het concours mondial Bruxelles en een zilveren médaille bij de International Wine Challenge. [SEP] ",villebois sauvignon blanc ,null,null,null
0.5750887,18424,460316,Mucho Más,Blanco,"Het doel van deze wijn was om een onderscheidende stijl te creëren door de kwaliteiten van drie verschillende druivensoorten (verdejo, sauvignon blanc en chardonnay) te benutten.",[],"Wijn en bubbels Witte wijn Wijn per doos Witte wijn per doos
 Fris & fruitig witte wijn (per doos)","mucho más [SEP] blanco [SEP] Het doel van deze wijn was om een onderscheidende stijl te creëren door de kwaliteiten van drie verschillende druivensoorten (verdejo, sauvignon blanc en chardonnay) te benutten. [SEP] ",mucho más blanco ,null,null,null
0.5688273,5722,492374,Origin,Sauvignon Blanc wijntap,"In de handige wijntap zit 2,25 liter (is 3 flessen) sauvignon blanc. Hij is fris met aromas van citrus en perzik. In de koelkast blijft deze heerlijke borrelwijn na opening minstens 4 weken goed. Kleur, smaak: Wit, vol  en  droog Druivenras: Sauvignon blanc Land, streek: Zuid-afrika, western cape Lekker bij: Salades, vis","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Veganistisch' 'Geen sesam'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Wijn en bubbels Wijntaps,"origin [SEP] sauvignon blanc wijntap [SEP] In de handige wijntap zit 2,25 liter (is 3 flessen) sauvignon blanc. Hij is fris met aromas van citrus en perzik. In de koelkast blijft deze heerlijke borrelwijn na opening minstens 4 weken goed. Kleur, smaak: Wit, vol  en  droog Druivenras: Sauvignon blanc Land, streek: Zuid-afrika, western cape Lekker bij: Salades, vis [SEP] wit",origin sauvignon blanc wijntap wit,null,null,null
0.5626175,16622,226851,Natura,Organic Viognier,"Deze witte wijn heeft een heerlijke geur van limoen en vers citroensap, naast tonen van brioche en bloesem. Je proeft rijp geel fruit als abrikozen en perziken, naast een prachtige verfrissende smaak en afdronk. Met een hint van houtlagering die ondersteunt maar niet overheerst.","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Veganistisch' 'Geen sesam'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Wijn en bubbels Witte wijn Viognier Viognier (Chili),"natura [SEP] organic viognier [SEP] Deze witte wijn heeft een heerlijke geur van limoen en vers citroensap, naast tonen van brioche en bloesem. Je proeft rijp geel fruit als abrikozen en perziken, naast een prachtige verfrissende smaak en afdronk. Met een hint van houtlagering die ondersteunt maar niet overheerst. [SEP] wit vol",natura organic viognier wit vol,null,null,null
0.55810547,18674,192789,Arrogant Frog,Vineyard Selection Sauvignon Blanc,"De druiven voor deze frisse, maar toch rijke sauvignon blanc zijn afkomstig van een speciaal geselecteerde wijngaard. Jean-claude mas, de wijnmaker, maakte er een aangename wijn van, perfect bij het aperitief.",[],"Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Frankrijk)","arrogant frog [SEP] vineyard selection sauvignon blanc [SEP] De druiven voor deze frisse, maar toch rijke sauvignon blanc zijn afkomstig van een speciaal geselecteerde wijngaard. Jean-claude mas, de wijnmaker, maakte er een aangename wijn van, perfect bij het aperitief. [SEP] ",arrogant frog vineyard selection sauvignon blanc ,null,null,null
0.55543107,20077,499034,Inycon,Estate Sauvignon Blanc,Een frisfruitige sauvignon blanc uit sicilie. Een ideale wijn bij de borrel of bij salades.,[],"Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Italië)",inycon [SEP] estate sauvignon blanc [SEP] Een frisfruitige sauvignon blanc uit sicilie. Een ideale wijn bij de borrel of bij salades. [SEP] ,inycon estate sauvignon blanc ,null,null,null
0.5504049,2371,225297,La Tulipe,Sauvignon Blanc,"Vriendelijke, verfrissende wijn met een fijne, fruitige nasmaak. Die drink je zo, als borrelwijn, en bij salades, gegrilde vis, verse pasta en gebraden kip. Kleur, smaak: Wit, fris en droog Druivenras: Sauvignon blanc, semillon Land, streek: Frankrijk, cotes de gascogne Lekker bij: Salade, vis Bekroond: Nvt","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Veganistisch' 'Geen sesam'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Wijn en bubbels Wijnflesjes (klein) Witte wijn Witte wijn (klein),"la tulipe [SEP] sauvignon blanc [SEP] Vriendelijke, verfrissende wijn met een fijne, fruitige nasmaak. Die drink je zo, als borrelwijn, en bij salades, gegrilde vis, verse pasta en gebraden kip. Kleur, smaak: Wit, fris en droog Druivenras: Sauvignon blanc, semillon Land, streek: Frankrijk, cotes de gascogne Lekker bij: Salade, vis Bekroond: Nvt [SEP] wit",la tulipe sauvignon blanc wit,null,null,null
0.5503153,495,387103,AH Excellent,Selectie touraine sauvignon blanc,"Tintelfrisse wijn uit de Loire, het oergebied van de Sauvignon Blanc. Fruitig, sappig en swingend. Lekker om los te drinken en past zeker ook bij lichte gerechten. Kleur, smaak: wit, fris en droog Druivenras: sauvignon blanc Land, streek: Frankrijk, Loire Lekker bij: salade, vis Bekroond: Hamersma,8","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Geen sesam' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Frankrijk)","ah excellent [SEP] selectie touraine sauvignon blanc [SEP] Tintelfrisse wijn uit de Loire, het oergebied van de Sauvignon Blanc. Fruitig, sappig en swingend. Lekker om los te drinken en past zeker ook bij lichte gerechten. Kleur, smaak: wit, fris en droog Druivenras: sauvignon blanc Land, streek: Frankrijk, Loire Lekker bij: salade, vis Bekroond: Hamersma,8 [SEP] frankrijk",ah excellent selectie touraine sauvignon blanc frankrijk,null,null,null
0.5489881,18236,387108,Gort & Gort,Prestige sauvignon blanc,"Zomer in je glas. Fruitige aroma's spetteren je glas uit en in je mond is het een en al sap. Heerlijk als borrel- en lunchwijn. Kleur, smaak: Wit, fris en droog Druivenras: Sauvignon blanc, semillon Land, streek: Frankrijk, bordeaux Lekker bij: Salade, vis","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Veganistisch' 'Geen sesam'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Frankrijk)","gort & gort [SEP] prestige sauvignon blanc [SEP] Zomer in je glas. Fruitige aroma's spetteren je glas uit en in je mond is het een en al sap. Heerlijk als borrel- en lunchwijn. Kleur, smaak: Wit, fris en droog Druivenras: Sauvignon blanc, semillon Land, streek: Frankrijk, bordeaux Lekker bij: Salade, vis [SEP] frankrijk",gort & gort prestige sauvignon blanc frankrijk,null,null,null
