scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.6569461,12665,3372,AH,Keukenzout met jodium,Zuiver zout van de hoogste kwaliteit Smaakmaker van elke maaltijd Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Nutri-Score C' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Soepen sauzen kruiden olie Smaakmakers Zout Zout (naturel)
 Zout (diverse)",ah [SEP] keukenzout met jodium [SEP] Zuiver zout van de hoogste kwaliteit Smaakmaker van elke maaltijd Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] zout,ah keukenzout met jodium zout,null,null,null
0.6092941,18989,201933,LoSalt,Mineraalzout,LoSalt mineraalzout zonder jodium. 66% minder natrium Bevat natuurlijke en nuttige mineralen,"['Laag vet' 'Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen schelpdieren (schaaldieren)'
 'Vegetarisch' 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's""
 'Geen selderij' 'Geen mosterd' 'Geen lactose' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Geen gluten']","Soepen sauzen kruiden olie Smaakmakers Zout Zout (naturel)
 Zout (diverse)",losalt [SEP] mineraalzout [SEP] LoSalt mineraalzout zonder jodium. 66% minder natrium Bevat natuurlijke en nuttige mineralen [SEP] zout,losalt mineraalzout zout,null,null,null
0.6025058,17649,201965,Jozo,Low sodium salt fine,Jozo bewust zout bevat 70% minder natrium dan gewoon zout. Gevarieerde evenwichtige voeding en een gezonde levensstijl worden aanbevolen. Gebruik (zout) met mate. Bevat jodium Uitstekend geschikt voor het bereiden van je dagelijkse maaltijd In een handige verpakking: goed strooibaar en hersluitbaar,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Soepen sauzen kruiden olie Smaakmakers Zout Zout (naturel)
 Zout (diverse)",jozo [SEP] low sodium salt fine [SEP] Jozo bewust zout bevat 70% minder natrium dan gewoon zout. Gevarieerde evenwichtige voeding en een gezonde levensstijl worden aanbevolen. Gebruik (zout) met mate. Bevat jodium Uitstekend geschikt voor het bereiden van je dagelijkse maaltijd In een handige verpakking: goed strooibaar en hersluitbaar [SEP] zout,jozo low sodium salt fine zout,null,null,null
0.5967666,330,128527,LoSalt,Mineraalzout met jodium,"LoSalt mineraal zout met jodium bevat 66% minder natrium. 66%minder natrium, vervangen door natuurlijke en nuttige mineralen.","['Laag vet' 'Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen schelpdieren (schaaldieren)'
 'Vegetarisch' 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's""
 'Geen selderij' 'Geen mosterd' 'Geen lactose' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Geen gluten']","Soepen sauzen kruiden olie Smaakmakers Zout Zout (naturel)
 Zout (diverse)","losalt [SEP] mineraalzout met jodium [SEP] LoSalt mineraal zout met jodium bevat 66% minder natrium. 66%minder natrium, vervangen door natuurlijke en nuttige mineralen. [SEP] zout",losalt mineraalzout met jodium zout,null,null,null
0.5900303,14031,531740,Verstegen,Keukengoud het alternatief voor zout,"Keukengoud is een heerlijke combinatie van specerijen, kruiden, groenten, zeezout en miso, speciaal ontwikkeld als vervanging van zout. Zo eet je bewust minder zout, zonder in te leveren op smaak. Het alternatief voor zout Geeft een vergelijkbare smaakbeleving als zout, met slechts 16% zeezout Te gebruiken als regulier keukenzout tijdens het koken Handige voorraadverpakking met strooier","['Geen melk' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet' 'Geen mosterd'
 'Geen lactose' 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']",Soepen sauzen kruiden olie Smaakmakers Zout Zout  (kruiden),"verstegen [SEP] keukengoud het alternatief voor zout [SEP] Keukengoud is een heerlijke combinatie van specerijen, kruiden, groenten, zeezout en miso, speciaal ontwikkeld als vervanging van zout. Zo eet je bewust minder zout, zonder in te leveren op smaak. Het alternatief voor zout Geeft een vergelijkbare smaakbeleving als zout, met slechts 16% zeezout Te gebruiken als regulier keukenzout tijdens het koken Handige voorraadverpakking met strooier [SEP] zout",verstegen keukengoud het alternatief voor zout zout,null,null,null
0.5687478,15484,173810,AH,Tafelzout met jodium,Een smaakmaker van allerhande maaltijden. Met jodium,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Nutri-Score C' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Soepen sauzen kruiden olie Smaakmakers Zout Zout (naturel)
 Zout (diverse)",ah [SEP] tafelzout met jodium [SEP] Een smaakmaker van allerhande maaltijden. Met jodium [SEP] zout,ah tafelzout met jodium zout,null,null,null
0.5613639,3756,531738,Drogheria,Siciliaans steenzout,"Met dit pure, natuurlijke zout breng je iedere maaltijd in een handomdraai op smaak. Handig en mooi voor op tafel natuurlijk zout om iedere maaltijd in een handomdraai op smaak te brengen Authentiek Italiaans","['Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Vegetarisch'
 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen selderij' 'Geen mosterd' 'Geen lactose' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Geen gluten']",Soepen sauzen kruiden olie Smaakmakers Zout Zout  (kruiden),"drogheria [SEP] siciliaans steenzout [SEP] Met dit pure, natuurlijke zout breng je iedere maaltijd in een handomdraai op smaak. Handig en mooi voor op tafel natuurlijk zout om iedere maaltijd in een handomdraai op smaak te brengen Authentiek Italiaans [SEP] kruiden molen",drogheria siciliaans steenzout kruiden molen,null,null,null
0.55988574,3155,173809,AH,Keukenzout met jodium,Een smaakmaker van allerhande maaltijden. Met jodium,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Nutri-Score C' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Soepen sauzen kruiden olie Smaakmakers Zout Zout (naturel)
 Zout (diverse)",ah [SEP] keukenzout met jodium [SEP] Een smaakmaker van allerhande maaltijden. Met jodium [SEP] zout,ah keukenzout met jodium zout,null,null,null
0.5429422,4646,160583,La Baleine,Zeezout fijn,Zeezout geoogst in een prachtig beschermd natuurgebied de Camargue. Natuurlijk geoogst zeezout Honderden plant en diersoorten kunnen leven dankzij de zoutvelden,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Soepen sauzen kruiden olie Smaakmakers Zout Zout (naturel)
 Zeezout",la baleine [SEP] zeezout fijn [SEP] Zeezout geoogst in een prachtig beschermd natuurgebied de Camargue. Natuurlijk geoogst zeezout Honderden plant en diersoorten kunnen leven dankzij de zoutvelden [SEP] zout,la baleine zeezout fijn zout,null,null,null
0.5326804,12318,201977,Jozo,Naturel tafelzout,"Jozo extra fijn zout is zeer fijnkorrelig, wat garant staat voor een gelijkmatige zoutsmaak. Dit zout is ideaal voor vers pastadeeg of om op een eitje te strooien. Geen jodium toegevoegd Een van de zuiverste zoutsoorten ter wereld In een handige verpakking: goed strooibaar en hersluitbaar","['Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Vegetarisch'
 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen selderij' 'Geen mosterd' 'Geen lactose' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Geen gluten']","Soepen sauzen kruiden olie Smaakmakers Zout Zout (naturel)
 Zout (diverse)","jozo [SEP] naturel tafelzout [SEP] Jozo extra fijn zout is zeer fijnkorrelig, wat garant staat voor een gelijkmatige zoutsmaak. Dit zout is ideaal voor vers pastadeeg of om op een eitje te strooien. Geen jodium toegevoegd Een van de zuiverste zoutsoorten ter wereld In een handige verpakking: goed strooibaar en hersluitbaar [SEP] zout",jozo naturel tafelzout zout,null,null,null
