scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.1296787,12866,434194,Brand,Weizen 0.0 6-pack,"Brand Weizen 0.0. Een Weizen zoals t hoort, maar dan lekker alcoholvrij, met een extra frisse, fruitige smaak en een zachte afdronk. Speciaalbier Smaak: met een extra frisse en fruitige smaak en een zachte afdonk Categorie: fris en lichtzoet Alcoholpercentage: 0,0%","['Geen gluten' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Vegetarisch' 'Geen selderij']","Bier en aperitieven Speciaalbier
 Alcoholvrij bier en bier laag in alcohol Bier
 Alcoholvrij speciaalbier Wit & weizen 0.0","brand [SEP] weizen 0.0 6-pack [SEP] Brand Weizen 0.0. Een Weizen zoals t hoort, maar dan lekker alcoholvrij, met een extra frisse, fruitige smaak en een zachte afdronk. Speciaalbier Smaak: met een extra frisse en fruitige smaak en een zachte afdonk Categorie: fris en lichtzoet Alcoholpercentage: 0,0% [SEP] 0.0 specialties",brand weizen 0.0 6-pack 0.0 specialties,null,null,null
0.12948918,14665,515681,Hertog,Vegan vanille,"Hertog vanille vegan ijssalon is rijk en luxueus vanille-ijs, vegan en lactosevrij. Hertog vanille vegan ijssalon is helemaal vegan en lactosevrij Een zuivelvrij alternatief voor Hertog vanille roomijs Het vegan ijs heeft een zachte en romige structuur Heerlijk vanille-ijs, vol van smaak","['Geen melk' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet' 'Geen mosterd'
 'Geen lactose' 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']",Diepvries IJs Plantaardig ijs,"hertog [SEP] vegan vanille [SEP] Hertog vanille vegan ijssalon is rijk en luxueus vanille-ijs, vegan en lactosevrij. Hertog vanille vegan ijssalon is helemaal vegan en lactosevrij Een zuivelvrij alternatief voor Hertog vanille roomijs Het vegan ijs heeft een zachte en romige structuur Heerlijk vanille-ijs, vol van smaak [SEP] roomijs standaard",hertog vegan vanille roomijs standaard,null,null,null
0.11744983,16062,179089,Weihenstephaner,Hefe weissbier,"Zacht, fris en romig - de tarwe geeft die romigheid, plus een lichte, aangenaam friszure smaak. In de geur domineert banaan en kruidnagel. Smaakpalet: fris, fruitig en kruidig Heerlijk bij: varkensvlees, sate, weisswurst en geitenkaas Het lekkerste op temperatuur: 6-8 graden celsius","['Geen gluten' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's"" 'Vegetarisch'
 'Geen selderij' 'Geen mosterd' 'Geen lactose' 'Geen sulfiet' 'Geen sesam']",Bier en aperitieven Speciaalbier Bier Wit & Weizen Weizen bier,"weihenstephaner [SEP] hefe weissbier [SEP] Zacht, fris en romig - de tarwe geeft die romigheid, plus een lichte, aangenaam friszure smaak. In de geur domineert banaan en kruidnagel. Smaakpalet: fris, fruitig en kruidig Heerlijk bij: varkensvlees, sate, weisswurst en geitenkaas Het lekkerste op temperatuur: 6-8 graden celsius [SEP] weizen",weihenstephaner hefe weissbier weizen,null,null,null
0.11732253,17541,158733,Hertog Jan,Weizener 6-pack,"Een eigenzinnig tarwebier van hoge gisting met nagisting op de fles met een volmondig fris karakter, citrusachtig met lichte bittertonen. Categorie: fruitig  en  fris Soort, smaak: banaanaroma, koriander, friszuur Brouwerij, plaats: Hertog Jan brouwerij, arcen, Nederland Alcoholpercentage: 5.7%","['Geen gluten' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Geen sulfiet' 'Geen sesam' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Vegetarisch' 'Geen selderij']",Bier en aperitieven Speciaalbier Bier Wit & Weizen Weizen bier,"hertog jan [SEP] weizener 6-pack [SEP] Een eigenzinnig tarwebier van hoge gisting met nagisting op de fles met een volmondig fris karakter, citrusachtig met lichte bittertonen. Categorie: fruitig  en  fris Soort, smaak: banaanaroma, koriander, friszuur Brouwerij, plaats: Hertog Jan brouwerij, arcen, Nederland Alcoholpercentage: 5.7% [SEP] weizen",hertog jan weizener 6-pack weizen,null,null,null
0.11709267,4371,548575,Lervig,No worries,"Een alcoholarme en verfrissende pale ale. Een lichte hopsmaak met aroma's van fruit. Stijl: pale ale 0,5% alcohol Brouwerij lervig uit Noorwegen","['Geen gluten' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen mosterd' 'Geen lactose' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen selderij']","Bier en aperitieven Speciaalbier
 Alcoholvrij bier en bier laag in alcohol Bier
 Speciaalbier laag in alcohol IPA laag in alcohol","lervig [SEP] no worries [SEP] Een alcoholarme en verfrissende pale ale. Een lichte hopsmaak met aroma's van fruit. Stijl: pale ale 0,5% alcohol Brouwerij lervig uit Noorwegen [SEP] 0.0 specialties",lervig no worries 0.0 specialties,null,null,null
0.11636095,1045,188379,Hertog,Ijssalon mini ijs vanille karamel pecan,Heerlijk vanille ijs overgoten met een onvergetelijke karamelsaus. Hertog ijsbeker met vanille karamel pecan ijs Heerlijk vanille ijs overgoten met gezouten karamelsaus Met stukjes pecannoten Vanille ijs zonder kunstmatige kleur- en smaakstoffen,"['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen selderij'
 'Geen eieren']","Diepvries Zuivel plantaardig en eieren IJs Toetjes
 Roomijs bekertjes Roomijs",hertog [SEP] ijssalon mini ijs vanille karamel pecan [SEP] Heerlijk vanille ijs overgoten met een onvergetelijke karamelsaus. Hertog ijsbeker met vanille karamel pecan ijs Heerlijk vanille ijs overgoten met gezouten karamelsaus Met stukjes pecannoten Vanille ijs zonder kunstmatige kleur- en smaakstoffen [SEP] roomijs standaard,hertog ijssalon mini ijs vanille karamel pecan roomijs standaard,null,null,null
0.115319625,16469,238777,Paulaner,Hefe weissbier,"Paulaner hefe-weissbier 5.5% is een verfrissende dorstlesser. Categorie: fris en lichtzoet Smaak: de vergisting zorgt voor behoud van de licht fruitige aroma Alcoholpercentage: 5,5% Brouwerij, plaats: Paulaner brouwerij, munchen, Duitsland","['Geen gluten' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's"" 'Vegetarisch'
 'Geen selderij' 'Geen mosterd' 'Geen lactose' 'Geen sulfiet' 'Geen sesam']",Bier en aperitieven Speciaalbier Bier Wit & Weizen Weizen bier,"paulaner [SEP] hefe weissbier [SEP] Paulaner hefe-weissbier 5.5% is een verfrissende dorstlesser. Categorie: fris en lichtzoet Smaak: de vergisting zorgt voor behoud van de licht fruitige aroma Alcoholpercentage: 5,5% Brouwerij, plaats: Paulaner brouwerij, munchen, Duitsland [SEP] weizen",paulaner hefe weissbier weizen,null,null,null
0.114997916,20331,481176,Wakefield,Estate Shiraz,100% shiraz van druiven van de eigen wijngaarden van wakefield. Hij rijpt 12 maanden op Amerikaanse eikenhouten vaten en is stevig en stoer met krachtige tannines. 100% shiraz uit het australische clare valley. Gerijpt op amerikaans eiken,[],Wijn en bubbels Rode wijn Syrah Shiraz Syrah Shiraz (Australië),wakefield [SEP] estate shiraz [SEP] 100% shiraz van druiven van de eigen wijngaarden van wakefield. Hij rijpt 12 maanden op Amerikaanse eikenhouten vaten en is stevig en stoer met krachtige tannines. 100% shiraz uit het australische clare valley. Gerijpt op amerikaans eiken [SEP] ,wakefield estate shiraz ,null,null,null
0.11392109,11550,99048,Hertog Jan,Lentebock 6-pack,"Lentebock is een traditioneel voorjaarsbier van hoge gisting. Categorie: seizoensbier van hoge gisting Soort, smaak: romig, fruitig, rijk en vol Brouwerij, plaats: Hertog Jan brouwerij, arcen, Nederland Alcoholpercentage: 7.2%","['Geen gluten' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Vegetarisch' 'Geen selderij']",Bier en aperitieven Speciaalbier Bier Bockbier Lentebok,"hertog jan [SEP] lentebock 6-pack [SEP] Lentebock is een traditioneel voorjaarsbier van hoge gisting. Categorie: seizoensbier van hoge gisting Soort, smaak: romig, fruitig, rijk en vol Brouwerij, plaats: Hertog Jan brouwerij, arcen, Nederland Alcoholpercentage: 7.2% [SEP] seizoen",hertog jan lentebock 6-pack seizoen,null,null,null
0.112193316,5198,401385,Remia,Bakken en braden,"Met Remia vloeibaar bakken en braden wordt uw vlees lekker mals, sappig en prachtig bruin van kleur. Van nature rijk aan omega 3 vetzuren Met deze handige knijptube kunt u eenvoudig doseren Bevat geen water, spat niet en geeft een heerlijke jus Bakken en braden: een uitvinding van remia","['Geen gluten' 'Geen lactose' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Laag suiker'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Vegetarisch' 'Geen selderij']","Ontbijtgranen en beleg Zuivel plantaardig en eieren Boter
 Boter voor de keuken Vloeibare margarine","remia [SEP] bakken en braden [SEP] Met Remia vloeibaar bakken en braden wordt uw vlees lekker mals, sappig en prachtig bruin van kleur. Van nature rijk aan omega 3 vetzuren Met deze handige knijptube kunt u eenvoudig doseren Bevat geen water, spat niet en geeft een heerlijke jus Bakken en braden: een uitvinding van remia [SEP] margarine vloeibaar",remia bakken en braden margarine vloeibaar,null,null,null
