scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.14772758,6107,143001,Unox,Rundvleesragout,Unox rundvlees ragout is heerlijk in een pasteibakje of op een geroosterd broodje! Rijkgevuld met mals rundvlees Beloond met het beter leven keurmerk 1 ster Gemakkelijk te bereiden Ca. 4 porties,"['Geen gluten' 'Geen lactose' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen selderij' 'Geen lupine'
 ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd' 'Geen sulfiet'
 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Vegetarisch']","Vlees kip vis vega Pasta rijst en wereldkeuken
 Soepen sauzen kruiden olie Conserven Hollandse keuken
 Rookworst ragout Vleesconserven Ragout",unox [SEP] rundvleesragout [SEP] Unox rundvlees ragout is heerlijk in een pasteibakje of op een geroosterd broodje! Rijkgevuld met mals rundvlees Beloond met het beter leven keurmerk 1 ster Gemakkelijk te bereiden Ca. 4 porties [SEP] ragouts,unox rundvleesragout ragouts,null,null,null
0.14246151,9086,30929,AH,Rundvleesragout,"Heerlijk rijkgevulde, romige rundvleesragout Rijkgevuld met rundvlees Ook lekker met rijst, in een wrap of op toast Met 1 ster Beter leven keurmerk rundvlees Serveer in (kant-en-klare) ragoutbakjes of met brood Prijsfavorieten: topkwaliteit en altijd laaggeprijsd","['Geen gluten' 'Geen lactose' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen selderij' 'Geen lupine'
 ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score C'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet' 'Geen eieren'
 'Geen noten' 'Vegetarisch']","Vlees kip vis vega Pasta rijst en wereldkeuken
 Soepen sauzen kruiden olie Conserven Hollandse keuken
 Rookworst ragout Vleesconserven Ragout","ah [SEP] rundvleesragout [SEP] Heerlijk rijkgevulde, romige rundvleesragout Rijkgevuld met rundvlees Ook lekker met rijst, in een wrap of op toast Met 1 ster Beter leven keurmerk rundvlees Serveer in (kant-en-klare) ragoutbakjes of met brood Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] ragouts",ah rundvleesragout ragouts,null,null,null
0.1254763,2723,1542,AH,Kalfsragout,"Heerlijk rijkgevulde, romige kalfsragout. Met 1 ster beter leven keurmerk kalfsvlees Serveer in (kant-en-klare) ragoutbakjes of met brood Prijsfavorieten: topkwaliteit en altijd laaggeprijsd","['Geen gluten' 'Geen lactose' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen selderij' 'Geen lupine'
 ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score C'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet' 'Geen eieren'
 'Geen noten' 'Vegetarisch']","Vlees kip vis vega Pasta rijst en wereldkeuken
 Soepen sauzen kruiden olie Conserven Hollandse keuken
 Rookworst ragout Vleesconserven Ragout","ah [SEP] kalfsragout [SEP] Heerlijk rijkgevulde, romige kalfsragout. Met 1 ster beter leven keurmerk kalfsvlees Serveer in (kant-en-klare) ragoutbakjes of met brood Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] ragouts",ah kalfsragout ragouts,null,null,null
0.12360443,8394,137881,AH,Sinas 6pack,Een echte dorstlesser! Sparkling Sinas Regular in handige voordeelverpakking. Frisdrank met sinaasappelsmaak Gekoeld het lekkerst Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Nutri-Score E' 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Prijsfavoriet' 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']",Frisdrank sappen koffie thee Frisdrank Sinas Sinas (fles),ah [SEP] sinas 6pack [SEP] Een echte dorstlesser! Sparkling Sinas Regular in handige voordeelverpakking. Frisdrank met sinaasappelsmaak Gekoeld het lekkerst Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] orange gvp,ah sinas 6pack orange gvp,null,null,null
0.12168945,373,492714,AH,Schuurspons hard,Deze harde schuurspons heeft een extra sterk schuuroppervlak. Met anti-bacterieel behandeld schuim ter voorkomen van vervelende geurtjes Blijvend fris en hygienisch 3 stuks,['Laag zout' 'Laag vet' 'Laag suiker'],Huishouden Schoonmaak benodigdheden Sponzen,ah [SEP] schuurspons hard [SEP] Deze harde schuurspons heeft een extra sterk schuuroppervlak. Met anti-bacterieel behandeld schuim ter voorkomen van vervelende geurtjes Blijvend fris en hygienisch 3 stuks [SEP] sponzen,ah schuurspons hard sponzen,null,null,null
0.118989415,14408,123804,Unox,Ragout champignon,Unox champignon ragout is heerlijk voor bij de feestdagen! Rijkgevuld met champignons Zonder kunstmatige geur- en smaakstoffen Gemakkelijk te bereiden Gemaakt met de beste ingredienten,"['Geen gluten' 'Geen lactose' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen selderij' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten']","Vlees kip vis vega Pasta rijst en wereldkeuken
 Soepen sauzen kruiden olie Conserven Hollandse keuken
 Rookworst ragout Vleesconserven Ragout",unox [SEP] ragout champignon [SEP] Unox champignon ragout is heerlijk voor bij de feestdagen! Rijkgevuld met champignons Zonder kunstmatige geur- en smaakstoffen Gemakkelijk te bereiden Gemaakt met de beste ingredienten [SEP] ragouts,unox ragout champignon ragouts,null,null,null
0.11728516,10478,33269,AH,Champignonragout,Heerlijk rijkgevulde champignonragout. Serveer in (kant-en-klare) ragoutbakjes of met brood. Eet smakelijk! Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen gluten' 'Geen lactose' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen selderij' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Geen mosterd' 'Nutri-Score C'
 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet' 'Geen eieren'
 'Geen noten']","Vlees kip vis vega Pasta rijst en wereldkeuken
 Soepen sauzen kruiden olie Conserven Hollandse keuken
 Rookworst ragout Vleesconserven Ragout",ah [SEP] champignonragout [SEP] Heerlijk rijkgevulde champignonragout. Serveer in (kant-en-klare) ragoutbakjes of met brood. Eet smakelijk! Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] ragouts,ah champignonragout ragouts,null,null,null
0.117091596,285,548346,Iglo,'s Favorieten pakket,Voor 4 personen: Ook zon zin in heerlijke vissticks en romige spinazie a la crème? Geniet nu van de grootste favorieten van Iglo. Iglo Spinazie a la crème 750gram 1x Iglo Vissticks 20 stuks 1x,[],"Aardappel groente fruit Diepvries Groente Diepvries groente
 Spinazie andijvie witlof Spinazie (diepvries) Spinazie",iglo [SEP] 's favorieten pakket [SEP] Voor 4 personen: Ook zon zin in heerlijke vissticks en romige spinazie a la crème? Geniet nu van de grootste favorieten van Iglo. Iglo Spinazie a la crème 750gram 1x Iglo Vissticks 20 stuks 1x [SEP] ,iglo 's favorieten pakket ,null,null,null
0.11518481,1603,467793,AH,Knoflooksaus,"Romige, frisse knoflooksaus, heerlijk bij de shoarma of barbecue. Knoflooksaus. Bereid met magere yoghurt Prijsfavorieten: topkwaliteit en altijd laaggeprijsd","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Nutri-Score C' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Prijsfavoriet' 'Geen noten' 'Geen mosterd' 'Geen selderij' 'Geen eieren'
 'Geen gluten']","Soepen sauzen kruiden olie Sauzen Snacksauzen mayonaise
 Knoflooksaus aioli Knoflooksaus","ah [SEP] knoflooksaus [SEP] Romige, frisse knoflooksaus, heerlijk bij de shoarma of barbecue. Knoflooksaus. Bereid met magere yoghurt Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] partysauzen",ah knoflooksaus partysauzen,null,null,null
0.11359361,4293,492713,AH,Schuurspons zacht,Deze zachte schuurspons reinigt grondig zonder krassen. Met anti-bacterieel behandeld schuim ter voorkomen van vervelende geurtjes Blijvend fris en hygienisch 3 stuks,['Laag zout' 'Laag vet' 'Laag suiker'],Huishouden Schoonmaak benodigdheden Sponzen,ah [SEP] schuurspons zacht [SEP] Deze zachte schuurspons reinigt grondig zonder krassen. Met anti-bacterieel behandeld schuim ter voorkomen van vervelende geurtjes Blijvend fris en hygienisch 3 stuks [SEP] sponzen,ah schuurspons zacht sponzen,null,null,null
