scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.1354745,8986,162363,Yealands,Estate Sauvignon Blanc,"In deze sauvignon blanc ruik je zwarte bessen en groene kruiden, naast verfrissend citrusfruit. Een zeer elegante smaak met duidelijke mineraliteit, waar deze sauvignon blanc van Yealands dan ook bekend om staat.",[],"Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Nieuw Zeeland)","yealands [SEP] estate sauvignon blanc [SEP] In deze sauvignon blanc ruik je zwarte bessen en groene kruiden, naast verfrissend citrusfruit. Een zeer elegante smaak met duidelijke mineraliteit, waar deze sauvignon blanc van Yealands dan ook bekend om staat. [SEP] ",yealands estate sauvignon blanc ,null,null,null
0.13126567,20305,167538,Voltaren,"Emulgel 1,16% bij gewrichtspijn","Voltaren emulgel 1,16% (diclofenac) is een ontstekingsremmende gel voor de lokale verlichting van milde tot matige gewrichtspijn veroorzaakt door verergering van artrose in knieen en vingers. Meer info? Bekijk hieronder de productinformatie Persoonlijk advies nodig? Bel gratis: 0800-4040017. Wij zijn bereikbaar van maandag t/m vrijdag van 09.00 - 17.00 uur. Of kijk op http://www.thuisarts.nl/ Wij adviseren u alleen tot aanschaf en gebruik van een zelfzorgmedicijn over te gaan indien u goed geinformeerd bent. De informatie op ah.nl vervangt niet het individueel advies van een arts, apotheker of drogist. Voor de volledige consumenten-informatie van een zelfzorgmedicijn, verwijzen wij u naar de bijsluiter van de fabrikant, zoals goedgekeurd door het College ter Beoordeling van Geneesmiddelen. AH biedt deze verwijzingen, zoals het CBG, als service aan. AH is niet verantwoordelijk voor de juistheid van de aldaar aangeboden informatie. Er geldt voor dit product een maximum van 3 stuks per bestelling.",['Laag zout' 'Laag vet' 'Laag suiker'],"Drogisterij Gezondheid Zelfzorg Gewrichtspijn spierpijn
 Pijnstillers Gewrichten","voltaren [SEP] emulgel 1,16% bij gewrichtspijn [SEP] Voltaren emulgel 1,16% (diclofenac) is een ontstekingsremmende gel voor de lokale verlichting van milde tot matige gewrichtspijn veroorzaakt door verergering van artrose in knieen en vingers. Meer info? Bekijk hieronder de productinformatie Persoonlijk advies nodig? Bel gratis: 0800-4040017. Wij zijn bereikbaar van maandag t/m vrijdag van 09.00 - 17.00 uur. Of kijk op http://www.thuisarts.nl/ Wij adviseren u alleen tot aanschaf en gebruik van een zelfzorgmedicijn over te gaan indien u goed geinformeerd bent. De informatie op ah.nl vervangt niet het individueel advies van een arts, apotheker of drogist. Voor de volledige consumenten-informatie van een zelfzorgmedicijn, verwijzen wij u naar de bijsluiter van de fabrikant, zoals goedgekeurd door het College ter Beoordeling van Geneesmiddelen. AH biedt deze verwijzingen, zoals het CBG, als service aan. AH is niet verantwoordelijk voor de juistheid van de aldaar aangeboden informatie. Er geldt voor dit product een maximum van 3 stuks per bestelling. [SEP] pijnstillers","voltaren emulgel 1,16% bij gewrichtspijn pijnstillers",null,null,null
0.13126352,20075,414724,Voltaren,"Emulgel 1,16% bij gewrichtspijn","Voltaren emulgel 1,16% (diclofenac) is een ontstekingsremmende gel voor de lokale verlichting van milde tot matige gewrichtspijn veroorzaakt door verergering van artrose in knieen en vingers. Klinisch bewezen pijnverlichting van milde tot matige gewrichtspijn Ontstekingsremmende gel die pijn en ontsteking verlicht Werkt in de bron van de pijn Verkoelend effect bij het aanbrengen op de huid",['Laag zout' 'Laag vet' 'Laag suiker'],"Drogisterij Gezondheid EHBO en sport Zelfzorg
 Sport herstel & verzorging Gewrichtspijn spierpijn Pijnstillers
 Spieren","voltaren [SEP] emulgel 1,16% bij gewrichtspijn [SEP] Voltaren emulgel 1,16% (diclofenac) is een ontstekingsremmende gel voor de lokale verlichting van milde tot matige gewrichtspijn veroorzaakt door verergering van artrose in knieen en vingers. Klinisch bewezen pijnverlichting van milde tot matige gewrichtspijn Ontstekingsremmende gel die pijn en ontsteking verlicht Werkt in de bron van de pijn Verkoelend effect bij het aanbrengen op de huid [SEP] inactief","voltaren emulgel 1,16% bij gewrichtspijn inactief",null,null,null
0.1255557,3185,99189,Norton,Colección sauvignon blanc,"Om altijd in de koelkast te hebben. Voor als je zin hebt in zomaar een glas of als je een droge, witte wijn bij het eten wilt. Kleur, smaak: wit, vol en droog Druivenras: sauvignon blanc Land, streek: Argentinie, Mendoza Lekker bij: vis, salade Bekroond: Hamersma,7,5","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Veganistisch' 'Geen sesam'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Argentinië)","norton [SEP] colección sauvignon blanc [SEP] Om altijd in de koelkast te hebben. Voor als je zin hebt in zomaar een glas of als je een droge, witte wijn bij het eten wilt. Kleur, smaak: wit, vol en droog Druivenras: sauvignon blanc Land, streek: Argentinie, Mendoza Lekker bij: vis, salade Bekroond: Hamersma,7,5 [SEP] zuid-amerika",norton colección sauvignon blanc zuid-amerika,null,null,null
0.123986125,11878,476115,Valdispert,Nacht,Valdispert nacht voor een goede nachtrust. Valdispert nacht is op basis van natuurlijke en plantaardige extracten van valeriaanwortel en passiebloem. De formulering geeft geen gewenning.. Voor een goede nachtrust Ontspannend en rustgevend Op basis van passiebloem en valeriaanextract Geeft geen gewenning en kan langere tijd gebruikt worden,"['Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen lupine' ""Geen pinda's"" 'Laag vet' 'Geen selderij'
 'Geen mosterd' 'Geen lactose' 'Geen sulfiet' 'Geen sesam' 'Geen gluten']","Drogisterij Gezondheid Vitamines & supplementen Supplementen
 Slaap rust en ontspanning Nachtrust",valdispert [SEP] nacht [SEP] Valdispert nacht voor een goede nachtrust. Valdispert nacht is op basis van natuurlijke en plantaardige extracten van valeriaanwortel en passiebloem. De formulering geeft geen gewenning.. Voor een goede nachtrust Ontspannend en rustgevend Op basis van passiebloem en valeriaanextract Geeft geen gewenning en kan langere tijd gebruikt worden [SEP] otc diverse zelfzorg,valdispert nacht otc diverse zelfzorg,null,null,null
0.12260336,16306,458554,Salceda,Rueda,"In rueda worden de druiven s nachts geoogst. Het resultaat is knallend fris wit met tropisch fruit zoals Mango, ananas en papaja. Daarnaast aromas van citroen en venkel.",[],Wijn en bubbels Rode wijn Tempranillo Tempranillo (Spanje),"salceda [SEP] rueda [SEP] In rueda worden de druiven s nachts geoogst. Het resultaat is knallend fris wit met tropisch fruit zoals Mango, ananas en papaja. Daarnaast aromas van citroen en venkel. [SEP] ",salceda rueda ,null,null,null
0.12197216,14150,440890,Puklavec & Friends,Sauvignon Blanc pinot grigio,"Deze wijn komt uit Slovenie, dat is weer eens iets anders. Hij
				  is fris en aromatisch, met de smaak van geurige passievrucht en citrus. Lekker
				  voor zo en bij salades. Kleur, smaak: wit, fris en  						droog Druivenras: sauvignon blanc, pinot grigio Land, streek: Slovenie Lekker bij: salade, vis Bekroond: Hamersma,8+","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Veganistisch' 'Geen sesam'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Wijn en bubbels Witte wijn Pinot Grigio Pinot Grigio (Slovenie),"puklavec & friends [SEP] sauvignon blanc pinot grigio [SEP] Deze wijn komt uit Slovenie, dat is weer eens iets anders. Hij
				  is fris en aromatisch, met de smaak van geurige passievrucht en citrus. Lekker
				  voor zo en bij salades. Kleur, smaak: wit, fris en  						droog Druivenras: sauvignon blanc, pinot grigio Land, streek: Slovenie Lekker bij: salade, vis Bekroond: Hamersma,8+ [SEP] overig eu",puklavec & friends sauvignon blanc pinot grigio overig eu,null,null,null
0.12185064,20280,476114,Valdispert,Nacht sterk,Valdispert nacht sterk is goed voor de nachtrust en helpt uitgerust wakker te worden dankzij valeriaanwortelextract en passiebloemextract. de formulering geeft geen gewenning.. Ondersteunt de nachtrust Geeft ontspanning en rust Op basis van natuurlijke en plantaardige extracten Geeft geen gewenning en kan langere tijd gebruikt worden,"['Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen lupine' ""Geen pinda's"" 'Laag vet' 'Geen selderij'
 'Geen mosterd' 'Geen lactose' 'Geen sulfiet' 'Geen sesam' 'Geen gluten']","Drogisterij Gezondheid Vitamines & supplementen Supplementen
 Slaap rust en ontspanning Nachtrust",valdispert [SEP] nacht sterk [SEP] Valdispert nacht sterk is goed voor de nachtrust en helpt uitgerust wakker te worden dankzij valeriaanwortelextract en passiebloemextract. de formulering geeft geen gewenning.. Ondersteunt de nachtrust Geeft ontspanning en rust Op basis van natuurlijke en plantaardige extracten Geeft geen gewenning en kan langere tijd gebruikt worden [SEP] otc diverse zelfzorg,valdispert nacht sterk otc diverse zelfzorg,null,null,null
0.12084152,9024,384250,Yealands,Sauvignon blanc,"Peter Yealands is een producent uit het Nieuw-Zeelandse Marlborough. Het bijzondere is dat deze producent zich als doel heeft gesteld om het meest duurzame wijnbedrijf ter wereld te worden. Groene sauvignon blanc dus! Niet alleen wat betreft filosofie, maar ook in de smaak. Denk aan groene appels, kiwi, groene asperges, limoen en verse geplukte groene kruiden. Heerlijk als aperitief. Verfrissend, verkwikkend en dorstlessend. Perfect om te serveren bij een groene salade met rivierkreeftjes. Nu ook verkrijgbaar als halve flesmaat.",[],"Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Nieuw Zeeland)","yealands [SEP] sauvignon blanc [SEP] Peter Yealands is een producent uit het Nieuw-Zeelandse Marlborough. Het bijzondere is dat deze producent zich als doel heeft gesteld om het meest duurzame wijnbedrijf ter wereld te worden. Groene sauvignon blanc dus! Niet alleen wat betreft filosofie, maar ook in de smaak. Denk aan groene appels, kiwi, groene asperges, limoen en verse geplukte groene kruiden. Heerlijk als aperitief. Verfrissend, verkwikkend en dorstlessend. Perfect om te serveren bij een groene salade met rivierkreeftjes. Nu ook verkrijgbaar als halve flesmaat. [SEP] ",yealands sauvignon blanc ,null,null,null
0.12073477,10802,139508,Sol y Nieve,Rueda verdejo-viura,"Pittige wijn die, vooral als het warm is, rechtstreeks vanuit de koelkast heerlijk smaakt. Fruitig en een beetje kruidig. Om zo van te genieten en bij salades. Kleur, smaak: wit, fris en droog Druivenras: verdejo, viura Land, streek: Spanje, Rueda Lekker bij: salade, vis Bekroond: Hamersma,7,5","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Veganistisch' 'Geen sesam'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Wijn en bubbels Witte wijn Verdejo,"sol y nieve [SEP] rueda verdejo-viura [SEP] Pittige wijn die, vooral als het warm is, rechtstreeks vanuit de koelkast heerlijk smaakt. Fruitig en een beetje kruidig. Om zo van te genieten en bij salades. Kleur, smaak: wit, fris en droog Druivenras: verdejo, viura Land, streek: Spanje, Rueda Lekker bij: salade, vis Bekroond: Hamersma,7,5 [SEP] spanje",sol y nieve rueda verdejo-viura spanje,null,null,null
