scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.1469002,1439,237304,AH,Yoghurt met kokos,"Frisse, volle yoghurt met kokos. 100% Karton uit goed beheerde bossen.","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score C' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Zuivel plantaardig en eieren Tussendoortjes Yoghurt en kwark
 Zuivel tussendoortjes (voor thuis en onderweg) Yoghurt
 Yoghurt tussendoortjes","ah [SEP] yoghurt met kokos [SEP] Frisse, volle yoghurt met kokos. 100% Karton uit goed beheerde bossen. [SEP] desserts",ah yoghurt met kokos desserts,null,null,null
0.14369893,19744,455722,AH,Heren enkelsokken maat 43-46,"2 paar Met ingeborduurde maat 77% katoen, 22% polyamide, 1% elastaan",['Laag zout' 'Laag vet' 'Laag suiker'],"Koken tafelen vrije tijd Kleding en accessoires Herenmode
 Herensokken Herensokken - maat 43-46","ah [SEP] heren enkelsokken maat 43-46 [SEP] 2 paar Met ingeborduurde maat 77% katoen, 22% polyamide, 1% elastaan [SEP] sokken",ah heren enkelsokken maat 43-46 sokken,null,null,null
0.14313269,6891,436936,Faszination,Hugo,"Kleur, smaak: bubbels, lichtzoet Druivenras: {4} Land, streek: Duitsland Lekker bij: dessert Prijsfavorieten: topkwaliteit en altijd laaggeprijsd","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sesam' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Prijsfavoriet' 'Geen eieren' 'Geen noten' 'Vegetarisch' 'Geen selderij'
 'Geen gluten']",Wijn en bubbels Mousserende wijn Hugo wijncocktail,"faszination [SEP] hugo [SEP] Kleur, smaak: bubbels, lichtzoet Druivenras: {4} Land, streek: Duitsland Lekker bij: dessert Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] ah eigen merk",faszination hugo ah eigen merk,null,null,null
0.14225963,7993,506781,Hertog,Citroentaart meringue ijssalon,Heerlijke citroentaart roomijs overgoten met een frisse citroensaus en verrukkelijke stukjes meringue. Met verrukkelijke stukjes meringue Met frisse citroensaus Lekker om samen van te genieten Het ijssalon gevoel bij jou thuis,"['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen selderij'
 'Geen eieren']","Diepvries Zuivel plantaardig en eieren IJs Toetjes Roomijs
 Roomijs premium",hertog [SEP] citroentaart meringue ijssalon [SEP] Heerlijke citroentaart roomijs overgoten met een frisse citroensaus en verrukkelijke stukjes meringue. Met verrukkelijke stukjes meringue Met frisse citroensaus Lekker om samen van te genieten Het ijssalon gevoel bij jou thuis [SEP] roomijs standaard,hertog citroentaart meringue ijssalon roomijs standaard,null,null,null
0.14074647,13967,533093,Chocomel,De enige echte koud,Chocomel koud. Koud het lekkerst,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']",Zuivel plantaardig en eieren Chocolademelk Chocolademelk (pakken),chocomel [SEP] de enige echte koud [SEP] Chocomel koud. Koud het lekkerst [SEP] drinkyoghurt,chocomel de enige echte koud drinkyoghurt,null,null,null
0.13826588,5651,135647,AH,Yoghurtijs naturel,Lekker luchtig dessert! Yoghurtijs naturel bereid met yoghurt en een lekkere friszure smaak. Combineer eens met verse bosvruchten Tip! Zet 5 minuten buiten de koelkast voor de beste textuur en romigheid,['Nutri-Score D'],Diepvries IJs Schepijs Sorbet en yoghurtijs,ah [SEP] yoghurtijs naturel [SEP] Lekker luchtig dessert! Yoghurtijs naturel bereid met yoghurt en een lekkere friszure smaak. Combineer eens met verse bosvruchten Tip! Zet 5 minuten buiten de koelkast voor de beste textuur en romigheid [SEP] premiumijs,ah yoghurtijs naturel premiumijs,null,null,null
0.1381334,11251,540597,Chocomel,halfvol 6 liter voordeel pakket,Chocomel halfvol 1L 6x,[],Zuivel plantaardig en eieren Chocolademelk Chocolademelk (pakken),chocomel [SEP] halfvol 6 liter voordeel pakket [SEP] Chocomel halfvol 1L 6x [SEP] ,chocomel halfvol 6 liter voordeel pakket ,null,null,null
0.1377405,17709,552990,AH Excellent,paaschocolade pakket,Heerlijk paaschocolade pakket AH Excellent Cholade paashaasjes melk 1x AH Excellent Chocolade kuikentjes 1x,[],"Snoep koek chips en chocolade Paaslekkernijen Chocolade
 Paaschocolade Chocolade paasfiguren",ah excellent [SEP] paaschocolade pakket [SEP] Heerlijk paaschocolade pakket AH Excellent Cholade paashaasjes melk 1x AH Excellent Chocolade kuikentjes 1x [SEP] ,ah excellent paaschocolade pakket ,null,null,null
0.13747634,10249,379333,AH,Volkoren eierkoeken,"Of je ze nou eet bij de koffie, tussendoor of ’s avonds
				  op de bank, deze volkoren eierkoeken gaan erin als koek! Volle bite Bereid met vrije uitloop eieren Geliefd bij jong en oud Slechts 78 kcal per koek Prijsfavorieten: topkwaliteit en altijd laaggeprijsd","['Geen gluten' 'Geen lactose' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Nutri-Score C' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Prijsfavoriet'
 'Geen noten' 'Geen selderij' 'Geen eieren']","Bakkerij en banket Snoep koek chips en chocolade Koek Banket
 Eierkoeken","ah [SEP] volkoren eierkoeken [SEP] Of je ze nou eet bij de koffie, tussendoor of ’s avonds
				  op de bank, deze volkoren eierkoeken gaan erin als koek! Volle bite Bereid met vrije uitloop eieren Geliefd bij jong en oud Slechts 78 kcal per koek Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] doorzicht koek groot",ah volkoren eierkoeken doorzicht koek groot,null,null,null
0.13716447,15329,226544,Hertog,Ijssalon aardbeien meringue,Heerlijk vanille- en aardbeien ijs met stukjes echte meringue. Vanille- en aardbeienijs met aardbeiensaus Met stukjes echte meringue Meringue met een laagje witte chocolade Heerlijk in een bakje of op een hoorntje,"['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Geen lupine'
 ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd' 'Geen sulfiet'
 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Vegetarisch'
 'Geen selderij' 'Geen eieren']","Diepvries Zuivel plantaardig en eieren IJs Toetjes Roomijs
 Schepijs Roomschepijs",hertog [SEP] ijssalon aardbeien meringue [SEP] Heerlijk vanille- en aardbeien ijs met stukjes echte meringue. Vanille- en aardbeienijs met aardbeiensaus Met stukjes echte meringue Meringue met een laagje witte chocolade Heerlijk in een bakje of op een hoorntje [SEP] roomijs standaard,hertog ijssalon aardbeien meringue roomijs standaard,null,null,null
