scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.12697151,9661,497578,Parrano,Robusto poeder,"Parrano robusto poeder is een heerlijke verse kaaspoeder met een licht pittige, nootachtige en intense smaak. Door onze unieke receptuur smelt de kaas perfect en maak je elk gerecht echt lekker! Parrano is speciaal gemaakt voor jouw favoriete pasta, lasagne of risotto Vegetarisch Parrano kaaspoeder 35+","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']",Kaas vleeswaren tapas Kaas Kaas voor maaltijden Geraspte kaas,"parrano [SEP] robusto poeder [SEP] Parrano robusto poeder is een heerlijke verse kaaspoeder met een licht pittige, nootachtige en intense smaak. Door onze unieke receptuur smelt de kaas perfect en maak je elk gerecht echt lekker! Parrano is speciaal gemaakt voor jouw favoriete pasta, lasagne of risotto Vegetarisch Parrano kaaspoeder 35+ [SEP] kzb k rasp specialiteit",parrano robusto poeder kzb k rasp specialiteit,null,null,null
0.12479577,10444,33648,Parrano,Rasp originale,"Parrano originale rasp is een heerlijke geraspte kaas met een licht zoete en nootachtige smaak. Door onze unieke receptuur smelt de kaas perfect en maak je elk gerecht echt lekker! Parrano is speciaal gemaakt voor jouw favoriete pasta, lasagne of risotto Vegetarisch Parrano kaasrasp 45+","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']",Kaas vleeswaren tapas Kaas Kaas voor maaltijden Geraspte kaas,"parrano [SEP] rasp originale [SEP] Parrano originale rasp is een heerlijke geraspte kaas met een licht zoete en nootachtige smaak. Door onze unieke receptuur smelt de kaas perfect en maak je elk gerecht echt lekker! Parrano is speciaal gemaakt voor jouw favoriete pasta, lasagne of risotto Vegetarisch Parrano kaasrasp 45+ [SEP] kzb k rasp specialiteit",parrano rasp originale kzb k rasp specialiteit,null,null,null
0.12007252,2377,163822,AH,Parmigiano Reggiano DOP 32+,"Deze typisch Italiaanse kaas, ook wel bekend onder de naam Parmezaanse kaas, wordt geroemd om haar karaktervolle smaak en korrelige structuur. Een harde kaas van koemelk met een kruidige en pikante smaak door het zouten en de minimale rijping van maar liefst 22 maanden. Dé finishing touch van je pastamaaltijd en vele andere gerechten. Smaak: Karakteristiek en rijk Herkomst: Italië Gemaakt van: Rauwe koemelk","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score D' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']","Kaas vleeswaren tapas Kaas Kaas voor borrel
 Kaas voor maaltijden Grano padano parmezaanse kaas
 Parmezaanse kaas","ah [SEP] parmigiano reggiano dop 32+ [SEP] Deze typisch Italiaanse kaas, ook wel bekend onder de naam Parmezaanse kaas, wordt geroemd om haar karaktervolle smaak en korrelige structuur. Een harde kaas van koemelk met een kruidige en pikante smaak door het zouten en de minimale rijping van maar liefst 22 maanden. Dé finishing touch van je pastamaaltijd en vele andere gerechten. Smaak: Karakteristiek en rijk Herkomst: Italië Gemaakt van: Rauwe koemelk [SEP] kb k rasp specialiteit",ah parmigiano reggiano dop 32+ kb k rasp specialiteit,null,null,null
0.11692246,117,478224,Zanetti,Parmigiano Reggiano 30+,"Deze typisch italiaanse kaas, ook wel bekend onder de naam parmezaanse kaas, karaktervolle van smaak met een korrelige structuur. Een harde kaas van koemelk met een kruidige en pikante smaak. Perfect in te raspen over italiaanse gerechten. Smaak: karakteristiek en rijk Herkomst: italie Gemaakt van: rauwe koemelk Ideaal over italiaanse gerechten","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']","Kaas vleeswaren tapas Kaas Kaas voor borrel
 Kaas voor maaltijden Grano padano parmezaanse kaas
 Parmezaanse kaas","zanetti [SEP] parmigiano reggiano 30+ [SEP] Deze typisch italiaanse kaas, ook wel bekend onder de naam parmezaanse kaas, karaktervolle van smaak met een korrelige structuur. Een harde kaas van koemelk met een kruidige en pikante smaak. Perfect in te raspen over italiaanse gerechten. Smaak: karakteristiek en rijk Herkomst: italie Gemaakt van: rauwe koemelk Ideaal over italiaanse gerechten [SEP] kzb k maaltijd",zanetti parmigiano reggiano 30+ kzb k maaltijd,null,null,null
0.113821015,16604,189443,Prioderm,Luizen- & netenkam,"Prioderm Luizen- en netenkam voor het controleren op en verwijderen van hoofdluizen en neten. Meer info? Bekijk hieronder de productinformatie Persoonlijk advies nodig? Bel gratis: 0800-4040017. Wij zijn bereikbaar van maandag t/m vrijdag van 09.00 - 17.00 uur. Of kijk op http://www.thuisarts.nl/ Wij adviseren u alleen tot aanschaf en gebruik van een zelfzorgmedicijn over te gaan indien u goed geinformeerd bent. De informatie op ah.nl vervangt niet het individueel advies van een arts, apotheker of drogist. Voor de volledige consumenten-informatie van een zelfzorgmedicijn, verwijzen wij u naar de bijsluiter van de fabrikant, zoals goedgekeurd door het College ter Beoordeling van Geneesmiddelen. AH biedt deze verwijzingen, zoals het CBG, als service aan. AH is niet verantwoordelijk voor de juistheid van de aldaar aangeboden informatie. Er geldt voor dit product een maximum van 3 stuks per bestelling.",[],"Drogisterij Baby en kind Gezondheid Baby en kind gezondheid
 Zelfzorg Luizen Zelfzorg kind","prioderm [SEP] luizen- & netenkam [SEP] Prioderm Luizen- en netenkam voor het controleren op en verwijderen van hoofdluizen en neten. Meer info? Bekijk hieronder de productinformatie Persoonlijk advies nodig? Bel gratis: 0800-4040017. Wij zijn bereikbaar van maandag t/m vrijdag van 09.00 - 17.00 uur. Of kijk op http://www.thuisarts.nl/ Wij adviseren u alleen tot aanschaf en gebruik van een zelfzorgmedicijn over te gaan indien u goed geinformeerd bent. De informatie op ah.nl vervangt niet het individueel advies van een arts, apotheker of drogist. Voor de volledige consumenten-informatie van een zelfzorgmedicijn, verwijzen wij u naar de bijsluiter van de fabrikant, zoals goedgekeurd door het College ter Beoordeling van Geneesmiddelen. AH biedt deze verwijzingen, zoals het CBG, als service aan. AH is niet verantwoordelijk voor de juistheid van de aldaar aangeboden informatie. Er geldt voor dit product een maximum van 3 stuks per bestelling. [SEP] ",prioderm luizen- & netenkam ,null,null,null
0.111594304,5840,202113,Parrano,Snippers originale,"Parrano orginale snippers zijn heerlijke geraspte kaas snippers met een licht zoete en nootachtige smaak. Dooronze unieke receptuur geeft de kaas meer smaak en maak je elk gerecht echt lekker!. Parrano is speciaal gemaakt voor jouw favoriete pasta, lasagne of risotto Vegetarisch Parrano kaasrasp 40+","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']",Kaas vleeswaren tapas Kaas Kaas voor maaltijden Geraspte kaas,"parrano [SEP] snippers originale [SEP] Parrano orginale snippers zijn heerlijke geraspte kaas snippers met een licht zoete en nootachtige smaak. Dooronze unieke receptuur geeft de kaas meer smaak en maak je elk gerecht echt lekker!. Parrano is speciaal gemaakt voor jouw favoriete pasta, lasagne of risotto Vegetarisch Parrano kaasrasp 40+ [SEP] kzb k rasp specialiteit",parrano snippers originale kzb k rasp specialiteit,null,null,null
0.10912642,6577,395959,AH,Prei,"Van Aziatische wokgerechten tot een oer-Hollandse stamppot. Prei is een bijzonder veelzijdige groente. Lekker om te koken of roerbakken, maar je kunt prei ook goed stomen. Om je eindje op weg te helpen is deze prei alvast gewassen en gesneden. Dus direct klaar voor gebruik! Licht pittige smaak Het voorwerk is alvast gedaan Gewassen in ijswater voor de beste kwaliteit","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Aardappel groente fruit Seizoensgroente (zomer)
 Seizoensgroente (herfst) Groente Prei Prei ui knoflook
 Prei (vers) Gesneden prei (vers)","ah [SEP] prei [SEP] Van Aziatische wokgerechten tot een oer-Hollandse stamppot. Prei is een bijzonder veelzijdige groente. Lekker om te koken of roerbakken, maar je kunt prei ook goed stomen. Om je eindje op weg te helpen is deze prei alvast gewassen en gesneden. Dus direct klaar voor gebruik! Licht pittige smaak Het voorwerk is alvast gedaan Gewassen in ijswater voor de beste kwaliteit [SEP] kookgroente overig",ah prei kookgroente overig,null,null,null
0.107812375,7716,478231,Zanetti,Parmigiano reggiano flakes,"Deze typisch italiaanse kaas, ook wel bekend onder de naam parmezaanse kaas, karaktervolle van smaak. Een harde kaas van koemelk met een kruidige en pikante smaak. Smaak: karakteristiek en rijk Herkomst: italie Gemaakt van: rauwe koemelk Ideaal over italiaanse gerechten","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']",Kaas vleeswaren tapas Kaas Kaas voor maaltijden Geraspte kaas,"zanetti [SEP] parmigiano reggiano flakes [SEP] Deze typisch italiaanse kaas, ook wel bekend onder de naam parmezaanse kaas, karaktervolle van smaak. Een harde kaas van koemelk met een kruidige en pikante smaak. Smaak: karakteristiek en rijk Herkomst: italie Gemaakt van: rauwe koemelk Ideaal over italiaanse gerechten [SEP] kzb k maaltijd",zanetti parmigiano reggiano flakes kzb k maaltijd,null,null,null
0.105916925,5785,539533,Parrano,Strooikaas,"Door onze unieke receptuur geeft de kaas meer smaak en maak je jouw gerecht echt af. Parrano originale strooikaas geraspte en gedroogde poederkaas 45+ Heerlijke strooikaas met een licht zoete, nootachtige smaak Parrano is speciaal gemaakt voor jouw favoriete pasta, lasagne, risotto en salade Extra lang houdbaar","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']",Kaas vleeswaren tapas Kaas Kaas voor maaltijden Geraspte kaas,"parrano [SEP] strooikaas [SEP] Door onze unieke receptuur geeft de kaas meer smaak en maak je jouw gerecht echt af. Parrano originale strooikaas geraspte en gedroogde poederkaas 45+ Heerlijke strooikaas met een licht zoete, nootachtige smaak Parrano is speciaal gemaakt voor jouw favoriete pasta, lasagne, risotto en salade Extra lang houdbaar [SEP] kzb k rasp specialiteit",parrano strooikaas kzb k rasp specialiteit,null,null,null
0.10547505,5224,470190,Parrano,Snippers robusto,"Parrano robusto snippers zijn heerlijke kaassnippers met een licht pittige, nootachtige en intense smaak. Dooronze unieke receptuur geeft de kaas meer smaak en maak je elk gerecht echt lekker!. Parrano is speciaal gemaakt voor jouw favoriete pasta, lasagne of risotto Vegetarisch Parrano kaasrasp 40+ met natuurlijk aroma","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Kaas vleeswaren tapas Kaas Kaas voor borrel
 Kaas voor maaltijden Grano padano parmezaanse kaas Grano Padano","parrano [SEP] snippers robusto [SEP] Parrano robusto snippers zijn heerlijke kaassnippers met een licht pittige, nootachtige en intense smaak. Dooronze unieke receptuur geeft de kaas meer smaak en maak je elk gerecht echt lekker!. Parrano is speciaal gemaakt voor jouw favoriete pasta, lasagne of risotto Vegetarisch Parrano kaasrasp 40+ met natuurlijk aroma [SEP] kzb k rasp specialiteit",parrano snippers robusto kzb k rasp specialiteit,null,null,null
0.10495959,3990,400471,AH Biologisch,Italiaanse parmigiano reggiano,"Biologische Parmigiano Reggiano kruimels, ideaal voor over Italiaanse recepten. De kaas is minimaal 12 maanden gerijpt, hierdoor ontstaat zijn rijke, pikante smaak. Smaak: Pikant Herkomst: Italië Gemaakt van: Koemelk","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' 'biologisch' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score D' 'Geen sulfiet'
 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Vegetarisch' 'Geen selderij' 'Geen gluten']",Kaas vleeswaren tapas Kaas Kaas voor maaltijden Geraspte kaas,"ah biologisch [SEP] italiaanse parmigiano reggiano [SEP] Biologische Parmigiano Reggiano kruimels, ideaal voor over Italiaanse recepten. De kaas is minimaal 12 maanden gerijpt, hierdoor ontstaat zijn rijke, pikante smaak. Smaak: Pikant Herkomst: Italië Gemaakt van: Koemelk [SEP] kzb k rasp specialiteit",ah biologisch italiaanse parmigiano reggiano kzb k rasp specialiteit,null,null,null
