scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.13053384,10589,458133,Aquarius,Aquarius isotonic cherry 12-pack,Aquarius sport Isotonic cherry is een isotone sportdrank met een verfrissende en dorstlessende kersensmaak en toegevoegd vitamine b6. De 500ml pet fles is een handige verpakking voor het sporten. Hydraterende isotone sportdrank Natuurlijke aroma's Met toegevoegde vitamines Kersensmaak,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Sport- en dieetvoeding
 Bewuste voeding Energy drink sportdrank
 Energie voeding sportvoeding Sportvoeding Sportdranken
 Sportdrank Sportdrank (in tray)",aquarius [SEP] aquarius isotonic cherry 12-pack [SEP] Aquarius sport Isotonic cherry is een isotone sportdrank met een verfrissende en dorstlessende kersensmaak en toegevoegd vitamine b6. De 500ml pet fles is een handige verpakking voor het sporten. Hydraterende isotone sportdrank Natuurlijke aroma's Met toegevoegde vitamines Kersensmaak [SEP] functionele dranken overig,aquarius aquarius isotonic cherry 12-pack functionele dranken overig,null,null,null
0.122475475,848,458131,Aquarius,Cherry isotonic,Aquarius sport Isotonic cherry is een isotone sportdrank met een verfrissende en dorstlessende kersensmaak en toegevoegd vitamine b6. De 500ml pet fles is een handige verpakking voor het sporten. Hydraterende isotone sportdrank Natuurlijke aroma's Met toegevoegde vitamines Kersensmaak,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Sport- en dieetvoeding
 Bewuste voeding Energy drink sportdrank
 Energie voeding sportvoeding Sportvoeding Sportdranken
 Sportdrank Sportdrank flesjes",aquarius [SEP] cherry isotonic [SEP] Aquarius sport Isotonic cherry is een isotone sportdrank met een verfrissende en dorstlessende kersensmaak en toegevoegd vitamine b6. De 500ml pet fles is een handige verpakking voor het sporten. Hydraterende isotone sportdrank Natuurlijke aroma's Met toegevoegde vitamines Kersensmaak [SEP] sportdranken,aquarius cherry isotonic sportdranken,null,null,null
0.11780006,13261,415757,Coca-Cola,Zero Cherry,"Coca-cola cherry heeft de lekkere smaak van Coca-Cola maar dan met een vleugje kers en zonder suiker. De 1l pet is de ideale fles om samen een verfrissende cola te delen tijdens de maaltijd. Frisdrank met plantenextracten en kersenaroma Zonder suiker Natuurlijke aroma's, zonder toegevoegde conserveermiddelen Pet-fles van 100% gerecycled plastic","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Frisdrank Cola Cola flessen
 Cola light & suikervrij Cola light & suikervrije flessen","coca-cola [SEP] zero cherry [SEP] Coca-cola cherry heeft de lekkere smaak van Coca-Cola maar dan met een vleugje kers en zonder suiker. De 1l pet is de ideale fles om samen een verfrissende cola te delen tijdens de maaltijd. Frisdrank met plantenextracten en kersenaroma Zonder suiker Natuurlijke aroma's, zonder toegevoegde conserveermiddelen Pet-fles van 100% gerecycled plastic [SEP] cola overig gvp",coca-cola zero cherry cola overig gvp,null,null,null
0.110983044,6545,200518,Whiskas,Sticks rund kattensnacks,"Whiskas sticks is een heerlijk verwenmomentje voor uw kat. De rijke smaak van rund zorgt ervoor dat uw kat extra geniet. 80% rund per stick Onweerstaanbaar en het ideale tussendoortje voor elk moment Zonder kunstmatige kleurstoffen, conserveermiddelen of smaakstoffen",['Laag zout' 'Laag vet' 'Laag suiker'],Huisdier Katten Kattensnacks,"whiskas [SEP] sticks rund kattensnacks [SEP] Whiskas sticks is een heerlijk verwenmomentje voor uw kat. De rijke smaak van rund zorgt ervoor dat uw kat extra geniet. 80% rund per stick Onweerstaanbaar en het ideale tussendoortje voor elk moment Zonder kunstmatige kleurstoffen, conserveermiddelen of smaakstoffen [SEP] kat snack",whiskas sticks rund kattensnacks kat snack,null,null,null
0.109368384,4315,415039,Wicky,Fruit 0% suiker 10-pack,"Wicky Zonder Suiker heeft de heerlijke en vertrouwde smaak van Wicky, maar bevat géén suiker. Vertrouwd lekker! Heerlijk suikervrij genieten! 100% Wicky, 0% suiker","['Laag vet' 'Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen schelpdieren (schaaldieren)'
 'Vegetarisch' 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's""
 'Geen selderij' 'Geen mosterd' 'Geen lactose' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Geen gluten']","Frisdrank sappen koffie thee Pakjes drinken
 Vruchtensappen & drank Frisse fruitdrank (drinkpakjes)
 Frisse fruitdrank","wicky [SEP] fruit 0% suiker 10-pack [SEP] Wicky Zonder Suiker heeft de heerlijke en vertrouwde smaak van Wicky, maar bevat géén suiker. Vertrouwd lekker! Heerlijk suikervrij genieten! 100% Wicky, 0% suiker [SEP] kids kvp",wicky fruit 0% suiker 10-pack kids kvp,null,null,null
0.10849607,18975,382943,Whiskas,Adult rund zak,Onze onweerstaanbare brokjes met smakelijk rund zijn zorgvuldig bereid om je kat alles te geven wat ze nodig hebben en om ze elke maaltijd blij en gezond te houden! Met zink: essentieel voor een gezonde huid en vacht Ter ondersteuning van gezonde urinewegen Zonder toegevoegde kunstmatige kleurof smaakstoffen Natuurlijke bron van vezels,['Laag zout' 'Laag vet' 'Laag suiker'],Huisdier Katten Droog kattenvoer,whiskas [SEP] adult rund zak [SEP] Onze onweerstaanbare brokjes met smakelijk rund zijn zorgvuldig bereid om je kat alles te geven wat ze nodig hebben en om ze elke maaltijd blij en gezond te houden! Met zink: essentieel voor een gezonde huid en vacht Ter ondersteuning van gezonde urinewegen Zonder toegevoegde kunstmatige kleurof smaakstoffen Natuurlijke bron van vezels [SEP] kat droog,whiskas adult rund zak kat droog,null,null,null
0.10664076,7907,518942,Coca-Cola,Zero sugar zero caffeine,"Coca-cola zero sugar zero caffeine heeft de originele smaak van Coca-Cola maar dan zonder suiker en cafeine. Frisdrank met plantenextracten, met zoetstoffen, zonder cafeine Zonder suiker en cafeine Geen toegevoegde conserveermiddelen Pet-fles van 100% gerecycled plastic","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Frisdrank Cola Cola cafeïnevrij
 Cola flessen Cola cafeïnevrij flessen","coca-cola [SEP] zero sugar zero caffeine [SEP] Coca-cola zero sugar zero caffeine heeft de originele smaak van Coca-Cola maar dan zonder suiker en cafeine. Frisdrank met plantenextracten, met zoetstoffen, zonder cafeine Zonder suiker en cafeine Geen toegevoegde conserveermiddelen Pet-fles van 100% gerecycled plastic [SEP] cola overig gvp",coca-cola zero sugar zero caffeine cola overig gvp,null,null,null
0.10592653,6864,171607,Coca-Cola,Zero sugar zero caffeine,"Coca-cola zero sugar zero caffeine heeft de originele smaak van Coca-Cola maar dan zonder suiker en cafeine. Frisdrank met plantenextracten, met zoetstoffen Zonder suiker en cafeine Geen toegevoegde conserveermiddelen Pet-fles van 100% gerecycled plastic","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'light'
 'Geen mosterd' 'Geen lactose' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Frisdrank Cola Cola cafeïnevrij
 Cola flessen Cola cafeïnevrij flessen","coca-cola [SEP] zero sugar zero caffeine [SEP] Coca-cola zero sugar zero caffeine heeft de originele smaak van Coca-Cola maar dan zonder suiker en cafeine. Frisdrank met plantenextracten, met zoetstoffen Zonder suiker en cafeine Geen toegevoegde conserveermiddelen Pet-fles van 100% gerecycled plastic [SEP] cola overig gvp",coca-cola zero sugar zero caffeine cola overig gvp,null,null,null
0.105643556,3806,418888,AH,Brok adult rund,"Krokante brokjes met rund en groenten speciaal voor de volwassen kat. De brokjes zijn ontwikkeld door petfood specialisten en komen in een handige hersluitbare verpakking. Volledige diervoeding voor de volwassen kat Met taurine, ter ondersteuning van een gezond hart Met eiwitten, ter ondersteuning van de spieropbouw Prijsfavorieten: topkwaliteit en altijd laaggeprijsd",['Laag zout' 'Laag vet' 'Prijsfavoriet' 'Laag suiker'],Huisdier Katten Droog kattenvoer,"ah [SEP] brok adult rund [SEP] Krokante brokjes met rund en groenten speciaal voor de volwassen kat. De brokjes zijn ontwikkeld door petfood specialisten en komen in een handige hersluitbare verpakking. Volledige diervoeding voor de volwassen kat Met taurine, ter ondersteuning van een gezond hart Met eiwitten, ter ondersteuning van de spieropbouw Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] kat droog",ah brok adult rund kat droog,null,null,null
0.10539925,1344,137741,Coca-Cola,Zero sugar,"Coca-Cola zero sugar heeft de geweldige Coca-Cola smaak, maar dan zonder suiker. De 1L PET is de ideale fles om samen te delen tijdens de maaltijd. frisdrank met plantenextracten, met zoetstoffen zero sugar bevat geen toevoegde conserveermiddelen bevat een bron van fenylalanine","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'light'
 'Geen mosterd' 'Geen lactose' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Frisdrank Cola Cola flessen
 Cola light & suikervrij Cola light & suikervrije flessen","coca-cola [SEP] zero sugar [SEP] Coca-Cola zero sugar heeft de geweldige Coca-Cola smaak, maar dan zonder suiker. De 1L PET is de ideale fles om samen te delen tijdens de maaltijd. frisdrank met plantenextracten, met zoetstoffen zero sugar bevat geen toevoegde conserveermiddelen bevat een bron van fenylalanine [SEP] cola low calorie gvp",coca-cola zero sugar cola low calorie gvp,null,null,null
