scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.13994625,5414,187533,Almhof,Volle kwark spaanse sinaasappel,"Almhof volle kwark spaanse sinaasappel is heerlijk romig en zacht van smaak, verrijkt met de lekkerste sinaasappels uit Spanje. Kwark om met volle teugen van te genieten. Dat is 100% puur genieten! Heerlijk romig en zacht van smaak Het lekkerste fruit en de beste ingredienten 100% puur, geen kunstmatige kleur- en smaakstoffen","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Zuivel plantaardig en eieren Yoghurt en kwark Kwark
 Kwark met smaak (groot)","almhof [SEP] volle kwark spaanse sinaasappel [SEP] Almhof volle kwark spaanse sinaasappel is heerlijk romig en zacht van smaak, verrijkt met de lekkerste sinaasappels uit Spanje. Kwark om met volle teugen van te genieten. Dat is 100% puur genieten! Heerlijk romig en zacht van smaak Het lekkerste fruit en de beste ingredienten 100% puur, geen kunstmatige kleur- en smaakstoffen [SEP] kwark toegevoegd",almhof volle kwark spaanse sinaasappel kwark toegevoegd,null,null,null
0.13822761,10049,33720,Almhof,Volle kwark citroen,"Almhof volle kwark citroen is heerlijk romig en zacht van smaak, verrijkt met frisse citroen. Kwark om met volle teugen van te genieten. Dat is 100% puur genieten! Heerlijk romig en zacht van smaak Het lekkerste fruit en de beste ingredienten 100% puur, geen kunstmatige kleur- en smaakstoffen","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet'
 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']","Zuivel plantaardig en eieren Yoghurt en kwark Kwark
 Kwark met smaak (groot)","almhof [SEP] volle kwark citroen [SEP] Almhof volle kwark citroen is heerlijk romig en zacht van smaak, verrijkt met frisse citroen. Kwark om met volle teugen van te genieten. Dat is 100% puur genieten! Heerlijk romig en zacht van smaak Het lekkerste fruit en de beste ingredienten 100% puur, geen kunstmatige kleur- en smaakstoffen [SEP] kwark toegevoegd",almhof volle kwark citroen kwark toegevoegd,null,null,null
0.12837236,14253,456862,Curvos,Alvarinho,De druif alvarinho (in Spanje beter bekend als albarino) staat voornamelijk aangeplant in het noorden van Portugal tegen de spaanse grens aan.,[],Wijn en bubbels Witte wijn Albariño Albariño (Spanje),curvos [SEP] alvarinho [SEP] De druif alvarinho (in Spanje beter bekend als albarino) staat voornamelijk aangeplant in het noorden van Portugal tegen de spaanse grens aan. [SEP] ,curvos alvarinho ,null,null,null
0.124063574,2439,486316,Souq,Gekonfijte citroenen,"Een must in de marokkaanse keuken: gekonfijte citroenen. De smaak van de sappige, friszure citroen ondergaat een ware metamorfose door het pekelen met zout. 100% natuurlijk Snelle smaakmaker Aromatisch friskruidig en hartig Heerlijk bij kip, in stoofgerechten, sauzen of dungesneden in salades","['Laag vet' 'Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's"" 'Geen selderij'
 'Geen mosterd' 'Geen lactose' 'Geen sulfiet' 'Geen sesam' 'Geen gluten']","Aardappel groente fruit Pasta rijst en wereldkeuken
 Bewuste voeding Bakkerij en banket Snoep koek chips en chocolade
 Zelf bakken Wholefoods Fruit Bakproducten
 Fruit en bessen (superfoods) Toevoegingen toppings versiering
 Gedroogd fruit Gedroogd fruit (diverse)","souq [SEP] gekonfijte citroenen [SEP] Een must in de marokkaanse keuken: gekonfijte citroenen. De smaak van de sappige, friszure citroen ondergaat een ware metamorfose door het pekelen met zout. 100% natuurlijk Snelle smaakmaker Aromatisch friskruidig en hartig Heerlijk bij kip, in stoofgerechten, sauzen of dungesneden in salades [SEP] midden-oosters",souq gekonfijte citroenen midden-oosters,null,null,null
0.11117146,5415,54074,AH,Komkommer,"Komkommer heeft een frisse, knapperige, neutrale smaak. Heerlijk door een salade of als gezonde snack. Smaak: Komkommer heeft een frisse, knapperige, neutrale smaak. Bewaren: Buiten de koelkast. Prijsfavorieten: topkwaliteit en altijd laaggeprijsd","['Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Prijsfavoriet' 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's""
 'Laag vet' 'Geen selderij' 'Geen mosterd' 'Geen lactose' 'Nutri-Score A'
 'Geen sulfiet' 'Geen sesam' 'Geen gluten']","Aardappel groente fruit Seizoensgroente (lente)
 Seizoensgroente (zomer) Groente Komkommer Komkommer avocado
 Komkommer (vers)","ah [SEP] komkommer [SEP] Komkommer heeft een frisse, knapperige, neutrale smaak. Heerlijk door een salade of als gezonde snack. Smaak: Komkommer heeft een frisse, knapperige, neutrale smaak. Bewaren: Buiten de koelkast. Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] vruchtgroenten komkommer",ah komkommer vruchtgroenten komkommer,null,null,null
0.1105507,17813,441023,Slurp!,Slurpie ros,"Deze licht getinte, droge rose komt uit het zuiden van Frankrijk. Hij is fris en zit vol fruitig sap. Heerlijk om zo van te genieten. Met of zonder iets erbij. Kleur, smaak: rose, droog Druivenras: grenache Land, streek: Frankrijk Lekker bij: salade, pasta","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Veganistisch' 'Geen sesam'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Wijn en bubbels Wijnflesjes (klein) Rosé Rosé wijn (klein),"slurp! [SEP] slurpie ros [SEP] Deze licht getinte, droge rose komt uit het zuiden van Frankrijk. Hij is fris en zit vol fruitig sap. Heerlijk om zo van te genieten. Met of zonder iets erbij. Kleur, smaak: rose, droog Druivenras: grenache Land, streek: Frankrijk Lekker bij: salade, pasta [SEP] rose",slurp! slurpie ros rose,null,null,null
0.10863059,2607,493095,Almhof,Halfvolle fruityoghurt perzik,"Een heerlijke frisse halfvolle yoghurt bereidt met de lekkerste perziken. Deze yoghurt bevat slechts 1,5% vet en alleen de beste natuurlijke ingredienten worden gebruikt. 100% genieten dus! Geen kunstmatige kleur- en smaakstoffen toegevoegd Gemaakt met het lekkerste fruit en eersteklas ingredienten Almhof, puur genieten Fris  en  fruitig van smaak","['Geen lactose' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag vet'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Geen eieren' 'Geen selderij' 'Geen gluten']","Zuivel plantaardig en eieren Yoghurt en kwark Yoghurt
 Yoghurt met smaak Vruchten yoghurt","almhof [SEP] halfvolle fruityoghurt perzik [SEP] Een heerlijke frisse halfvolle yoghurt bereidt met de lekkerste perziken. Deze yoghurt bevat slechts 1,5% vet en alleen de beste natuurlijke ingredienten worden gebruikt. 100% genieten dus! Geen kunstmatige kleur- en smaakstoffen toegevoegd Gemaakt met het lekkerste fruit en eersteklas ingredienten Almhof, puur genieten Fris  en  fruitig van smaak [SEP] yoghurt toegevoegd",almhof halfvolle fruityoghurt perzik yoghurt toegevoegd,null,null,null
0.10493311,13643,462229,Royal,Kalamata olijven zonder pit,Kalamata olijven uit Griekenlandl. Deze olijven zijn zongerijpt en krijgen hierdoor hun karakteristieke kleur. De olijven vinden hun oorsprong uit het district kalamata. Zonder pit Heerlijk voor door een salade Perfect voor bij de borrel,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Pasta rijst en wereldkeuken Kaas vleeswaren tapas Verse olijven
 Borrelhapjes Mediterrane keuken Olijven",royal [SEP] kalamata olijven zonder pit [SEP] Kalamata olijven uit Griekenlandl. Deze olijven zijn zongerijpt en krijgen hierdoor hun karakteristieke kleur. De olijven vinden hun oorsprong uit het district kalamata. Zonder pit Heerlijk voor door een salade Perfect voor bij de borrel [SEP] toevoegingen olijven,royal kalamata olijven zonder pit toevoegingen olijven,null,null,null
0.10492693,16735,164563,Del Monte,Halve perziken op sap,"Del Monte Halve Perziken in vruchtensap kan worden gebruikt in desserts, als topping bij ijs of als essentieel ingrediënt in fruitsalades. Perziken van Del Monte wordt niet geplukt, maar uitgekozen! Zonder toegevoegde suikers, dus gezond! Del Monte Perziken hebben diverse toepassingen in warme en koude gerechten Dankzij hun stevigheid ook bijzonder geschikt om te vullen","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Aardappel groente fruit Soepen sauzen kruiden olie Conserven
 Fruit Fruitconserven Perziken nectarines Perziken
 Perziken (conserven)","del monte [SEP] halve perziken op sap [SEP] Del Monte Halve Perziken in vruchtensap kan worden gebruikt in desserts, als topping bij ijs of als essentieel ingrediënt in fruitsalades. Perziken van Del Monte wordt niet geplukt, maar uitgekozen! Zonder toegevoegde suikers, dus gezond! Del Monte Perziken hebben diverse toepassingen in warme en koude gerechten Dankzij hun stevigheid ook bijzonder geschikt om te vullen [SEP] perzik",del monte halve perziken op sap perzik,null,null,null
0.103639215,5918,381532,HG,Koffiemachine ontkalker citroenzuur,"Hg koffiemachine ontkalker citroenzuur ontkalkt alle espresso- en padkoffiemachines op basis van citroenzuur. Deze ontkalker werkt veilig, snel, geurloos en is volledig biologisch afbreekbaar. Snel en veilig resultaat Zorgt voor blijvend goede koffiesmaak Bij regelmatig gebruik heeft het apparaat een langere levensduur Biologisch afbreekbaar",['Laag zout' 'Laag vet' 'Laag suiker'],"Frisdrank sappen koffie thee Huishouden Schoonmaakmiddelen
 Koffie Koffiezet-apparaat onderhoud
 Ontkalker (geschikt voor machines)","hg [SEP] koffiemachine ontkalker citroenzuur [SEP] Hg koffiemachine ontkalker citroenzuur ontkalkt alle espresso- en padkoffiemachines op basis van citroenzuur. Deze ontkalker werkt veilig, snel, geurloos en is volledig biologisch afbreekbaar. Snel en veilig resultaat Zorgt voor blijvend goede koffiesmaak Bij regelmatig gebruik heeft het apparaat een langere levensduur Biologisch afbreekbaar [SEP] hg producten",hg koffiemachine ontkalker citroenzuur hg producten,null,null,null
