scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.15400636,9118,224851,Johma,Twents kruidentuintje salade,"Een heerlijke zachtromige salade op basis van tuinkruiden, prei en frisse komkommer en een vleugje knoflook. Lekker op brood, toast of als groentedip Bereid met crème fraîche, komkommer, prei en knoflook","['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja' 'Geen selderij'
 'Geen kreeftachtigen (schaaldieren)' 'Vegetarisch' 'Geen lupine'
 ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen sulfiet' 'Geen sesam'
 'Geen vis' 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Geen mosterd' 'Geen eieren']","Ontbijtgranen en beleg Kaas vleeswaren tapas Beleg salades
 Brood- en toastsalades Boerensalades Salades (klein)
 Groentesalades (beleg)","johma [SEP] twents kruidentuintje salade [SEP] Een heerlijke zachtromige salade op basis van tuinkruiden, prei en frisse komkommer en een vleugje knoflook. Lekker op brood, toast of als groentedip Bereid met crème fraîche, komkommer, prei en knoflook [SEP] smeer groente",johma twents kruidentuintje salade smeer groente,null,null,null
0.1490249,5415,54074,AH,Komkommer,"Komkommer heeft een frisse, knapperige, neutrale smaak. Heerlijk door een salade of als gezonde snack. Smaak: Komkommer heeft een frisse, knapperige, neutrale smaak. Bewaren: Buiten de koelkast. Prijsfavorieten: topkwaliteit en altijd laaggeprijsd","['Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Prijsfavoriet' 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's""
 'Laag vet' 'Geen selderij' 'Geen mosterd' 'Geen lactose' 'Nutri-Score A'
 'Geen sulfiet' 'Geen sesam' 'Geen gluten']","Aardappel groente fruit Seizoensgroente (lente)
 Seizoensgroente (zomer) Groente Komkommer Komkommer avocado
 Komkommer (vers)","ah [SEP] komkommer [SEP] Komkommer heeft een frisse, knapperige, neutrale smaak. Heerlijk door een salade of als gezonde snack. Smaak: Komkommer heeft een frisse, knapperige, neutrale smaak. Bewaren: Buiten de koelkast. Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] vruchtgroenten komkommer",ah komkommer vruchtgroenten komkommer,null,null,null
0.14641646,1640,160926,AH,Hollandse stamppot bloemkool-broccoli,"Bloemkool-broccolistamppot met gehaktballetjes en jus Zonder toegevoegd suiker Bereiden: Magnetron: Gaatjes prikken en verwarmen op  						700 Watt : 6 minuten - 1000 Watt : 5 minuten Hoofdingredienten : bloemkool-broccolistamppot  						(aardappel, bloemkool, broccoli), gehaktballetjes (varkensvlees, rundvlees),  						jus","['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Geen sulfiet'
 'Laag suiker' 'Geen selderij' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Nutri-Score B' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen mosterd' 'Vegetarisch'
 'Geen eieren']","Salades pizza maaltijden Verse kant- en-klaar maaltijden
 Hollandse maaltijden Stamppot","ah [SEP] hollandse stamppot bloemkool-broccoli [SEP] Bloemkool-broccolistamppot met gehaktballetjes en jus Zonder toegevoegd suiker Bereiden: Magnetron: Gaatjes prikken en verwarmen op  						700 Watt : 6 minuten - 1000 Watt : 5 minuten Hoofdingredienten : bloemkool-broccolistamppot  						(aardappel, bloemkool, broccoli), gehaktballetjes (varkensvlees, rundvlees),  						jus [SEP] langer vers hollands",ah hollandse stamppot bloemkool-broccoli langer vers hollands,null,null,null
0.14620058,9518,4099,AH,IJsbergsla,"Ijsbergsla heeft stevige, knapperige, frisse bladeren. Heerlijk om een salade mee te maken, op een sandwich of als gezonde aanvulling in een wrap. Elke dag vers van onze teler. Smaak: ijsbergsla heeft een friss, knapperige, iets zoete smaak. Bewaren: In de koelkast. Prijsfavorieten: topkwaliteit en altijd laaggeprijsd","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Aardappel groente fruit Seizoensgroente (lente)
 Seizoensgroente (herfst) Groente Sla Sla rauwkost salade
 IJsbergsla IJsbergsla (krop)","ah [SEP] ijsbergsla [SEP] Ijsbergsla heeft stevige, knapperige, frisse bladeren. Heerlijk om een salade mee te maken, op een sandwich of als gezonde aanvulling in een wrap. Elke dag vers van onze teler. Smaak: ijsbergsla heeft een friss, knapperige, iets zoete smaak. Bewaren: In de koelkast. Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] bladgroenten sla",ah ijsbergsla bladgroenten sla,null,null,null
0.14445142,466,522401,AH,Groentespread komkommer tomaat,Gezonde veggie spread op basis van tomaat en komkommer. Te serveren op brood en toast Nutri-score a Extra groente en peulvruchten Vegan,"['Geen gluten' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine'
 ""Geen pinda's"" 'Laag vet' 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen mosterd' 'Geen selderij']","Ontbijtgranen en beleg Kaas vleeswaren tapas Hartig broodbeleg
 Smeersels & dips Spread Groentespread",ah [SEP] groentespread komkommer tomaat [SEP] Gezonde veggie spread op basis van tomaat en komkommer. Te serveren op brood en toast Nutri-score a Extra groente en peulvruchten Vegan [SEP] smeer vegan,ah groentespread komkommer tomaat smeer vegan,null,null,null
0.14429465,1239,238968,AH,Koriander,"Deze koriander met een zachtzoete, anijsachtige smaak is een krachtige smaakmaker in stoofschotels, kipgerechten, salades en sauzen. Fijngehakt blad is te gebruiken als smaakmaker en als garnering Bewaren thuis: in de koelkast Op het laatste moment toevoegen tijdens bereiding","['Laag vet' 'Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's"" 'Geen selderij'
 'Geen mosterd' 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam'
 'Geen gluten']","Aardappel groente fruit Soepen sauzen kruiden olie Kruiden
 Kruiden knoflook pepers Verse kruiden Koriander
 Koriander (vers)","ah [SEP] koriander [SEP] Deze koriander met een zachtzoete, anijsachtige smaak is een krachtige smaakmaker in stoofschotels, kipgerechten, salades en sauzen. Fijngehakt blad is te gebruiken als smaakmaker en als garnering Bewaren thuis: in de koelkast Op het laatste moment toevoegen tijdens bereiding [SEP] obw kruiden",ah koriander obw kruiden,null,null,null
0.14185405,3770,375965,AH,Komkommer salade,Frisse komkommersalade Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Nutri-Score C' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Prijsfavoriet' 'Geen noten' 'Geen selderij' 'Geen eieren' 'Geen gluten']","Ontbijtgranen en beleg Kaas vleeswaren tapas Beleg salades
 Brood- en toastsalades Salades (klein) Groentesalades (beleg)
 Komkommer salade",ah [SEP] komkommer salade [SEP] Frisse komkommersalade Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] smeer groente,ah komkommer salade smeer groente,null,null,null
0.13904741,14556,197939,AH,Bakcamembert,Na het verwarmen smeuiïg en krachtig van smaak. Ideaal op een salade of als vleesvervanger bij de warme maaltijd. Lekker makkelijk! Eetbare korst! Smaak: Krachtig Gemaakt van: Koemelk Herkomst: Duitsland Lekkere combinatie met cranberry saus.,"['Geen gluten' 'Geen lactose' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine'
 ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score D'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij']","Kaas vleeswaren tapas Kaas Kaas voor borrel
 Witte korst kaas brie",ah [SEP] bakcamembert [SEP] Na het verwarmen smeuiïg en krachtig van smaak. Ideaal op een salade of als vleesvervanger bij de warme maaltijd. Lekker makkelijk! Eetbare korst! Smaak: Krachtig Gemaakt van: Koemelk Herkomst: Duitsland Lekkere combinatie met cranberry saus. [SEP] kb k component,ah bakcamembert kb k component,null,null,null
0.13595478,5990,101130,AH Biologisch,Komkommer,"Komkommer heeft een frisse, knapperige, neutrale smaak. Heerlijk door een salade of als gezonde snack. Smaak: De komkommer heeft een frisse, knapperige, neutrale smaak. Bewaren: Buiten de koelkast. Gezondheid: 100% Biologisch.","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Geen lupine' 'biologisch' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam' 'Laag vet'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Aardappel groente fruit Seizoensgroente (lente)
 Seizoensgroente (zomer) Groente Komkommer Komkommer avocado
 Komkommer (vers)","ah biologisch [SEP] komkommer [SEP] Komkommer heeft een frisse, knapperige, neutrale smaak. Heerlijk door een salade of als gezonde snack. Smaak: De komkommer heeft een frisse, knapperige, neutrale smaak. Bewaren: Buiten de koelkast. Gezondheid: 100% Biologisch. [SEP] vruchtgroenten komkommer",ah biologisch komkommer vruchtgroenten komkommer,null,null,null
0.13570344,15346,52625,Johma,Huzarensalade,Een heerlijke salade in een fijne structuur met frisse groente en corned beef Lekker bij de BBQ of tussendoor Bevat gestoomde aardappels Tip: beleg eens een plak boerenbrood met huzarensalade en ijsbergsla,"['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja' 'Laag suiker'
 'Geen selderij' 'Geen kreeftachtigen (schaaldieren)' 'Geen lupine'
 ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen sulfiet' 'Geen sesam'
 'Geen vis' 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen mosterd' 'Vegetarisch' 'Geen eieren']","Kaas vleeswaren tapas Salades pizza maaltijden Salades
 Brood- en toastsalades Salades (groot)
 Huzarensalades rundvleessalades en slaatjes Huzarensalades",johma [SEP] huzarensalade [SEP] Een heerlijke salade in een fijne structuur met frisse groente en corned beef Lekker bij de BBQ of tussendoor Bevat gestoomde aardappels Tip: beleg eens een plak boerenbrood met huzarensalade en ijsbergsla [SEP] salades maaltijd,johma huzarensalade salades maaltijd,null,null,null
