scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.7440178,1635,239501,Appelsientje,Multifruit volle smaak,"Appelsientje multifruit met minder fruitsuiker is net zo lekker als gewone appelsientje, maar dan minder zoet door 30% minder fruitsuiker. Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Alleen eventjes verhit voor houdbaarheid, dus geen conserveermiddelen 100% puur sap, van nature rijk aan vitamine c en een bron van foliumzuur en kalium","['Laag vet' 'Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Vegetarisch' 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's""
 'Geen selderij' 'Geen mosterd' 'Geen lactose' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Geen gluten']","Frisdrank sappen koffie thee Vruchtensappen & drank
 Multivruchtensap & drank Multivruchtensap & drank (gekoeld)","appelsientje [SEP] multifruit volle smaak [SEP] Appelsientje multifruit met minder fruitsuiker is net zo lekker als gewone appelsientje, maar dan minder zoet door 30% minder fruitsuiker. Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Alleen eventjes verhit voor houdbaarheid, dus geen conserveermiddelen 100% puur sap, van nature rijk aan vitamine c en een bron van foliumzuur en kalium [SEP] samengesteld sap",appelsientje multifruit volle smaak samengesteld sap,null,null,null
0.7379979,13496,436169,Appelsientje,Bosfruit volle smaak,"Appelsientje bosfruit met minder fruitsuiker is net zo lekker als gewone appelsientje, maar dan minder zoet door 30% minder fruitsuiker. Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Alleen eventjes verhit voor houdbaarheid, dus geen conserveermiddelen 100% puur sap, van nature rijk aan vitamine c en een bron van foliumzuur en kalium","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Vruchtensappen & drank
 Bessensap & drank Bosvruchtensap & drank","appelsientje [SEP] bosfruit volle smaak [SEP] Appelsientje bosfruit met minder fruitsuiker is net zo lekker als gewone appelsientje, maar dan minder zoet door 30% minder fruitsuiker. Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Alleen eventjes verhit voor houdbaarheid, dus geen conserveermiddelen 100% puur sap, van nature rijk aan vitamine c en een bron van foliumzuur en kalium [SEP] enkel sap overig",appelsientje bosfruit volle smaak enkel sap overig,null,null,null
0.7293767,8227,542737,Appelsientje,Appelsientje volle smaak 6-pack,"Appelsientje sinaasappelsap met minder fruitsuiker is net zo lekker als gewone appelsientje, maar dan minder zoet door 30% minder fruitsuiker. 100% duurzaam geteelde sinaasappels en 100% puur sap Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Van nature rijk aan vitamine c en een bron van foliumzuur en kalium Alleen eventjes verhit voor houdbaarheid, dus geen conserveermiddelen","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Pakjes drinken
 Vruchtensappen & drank Sinaasappelsap & drank (drinkpakjes)
 ""Sinaasappelsap & drank (jus dorange)""","appelsientje [SEP] appelsientje volle smaak 6-pack [SEP] Appelsientje sinaasappelsap met minder fruitsuiker is net zo lekker als gewone appelsientje, maar dan minder zoet door 30% minder fruitsuiker. 100% duurzaam geteelde sinaasappels en 100% puur sap Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Van nature rijk aan vitamine c en een bron van foliumzuur en kalium Alleen eventjes verhit voor houdbaarheid, dus geen conserveermiddelen [SEP] kids kvp",appelsientje appelsientje volle smaak 6-pack kids kvp,null,null,null
0.7280235,16015,500276,Appelsientje,Proef! appel-citroen-limoen,"Appelsientje PROEF! Appel-Citroen-Limoen is een lekkere, verrassende en spannende smaakcombinatie waarbij jij naast proeven, ook een nieuwe smaak mag bedenken! Zonder kunstmatige smaak- en conserveermiddelen Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Vruchtensappen & drank
 Appelsap & drank Appelsap & drank (ongekoeld)","appelsientje [SEP] proef! appel-citroen-limoen [SEP] Appelsientje PROEF! Appel-Citroen-Limoen is een lekkere, verrassende en spannende smaakcombinatie waarbij jij naast proeven, ook een nieuwe smaak mag bedenken! Zonder kunstmatige smaak- en conserveermiddelen Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers [SEP] samengesteld sap",appelsientje proef! appel-citroen-limoen samengesteld sap,null,null,null
0.7099086,16839,195824,De Appelaere,Appelsap,De Appelaere is honderd procent puur natuurlijk appelsap In elke fles minstens één kilo geperste appels Met piepkleine stukjes vruchtvlees voor een volle smaak Een (h)eerlijk product van milieubewust geteelde appelsrassen Gekoeld het lekkerst,"['Laag vet' 'Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Vegetarisch' 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's""
 'Geen selderij' 'Geen mosterd' 'Geen lactose' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Geen gluten']","Frisdrank sappen koffie thee Vruchtensappen & drank
 Appelsap & drank Appelsap & drank (ongekoeld)",de appelaere [SEP] appelsap [SEP] De Appelaere is honderd procent puur natuurlijk appelsap In elke fles minstens één kilo geperste appels Met piepkleine stukjes vruchtvlees voor een volle smaak Een (h)eerlijk product van milieubewust geteelde appelsrassen Gekoeld het lekkerst [SEP] enkel sap basis,de appelaere appelsap enkel sap basis,null,null,null
0.70676184,4961,239499,Appelsientje,Sinaasappel volle smaak,"Appelsientje sinaasappelsap met minder fruitsuiker is net zo lekker als gewone appelsientje, maar dan minder zoet door 30% minder fruitsuiker. ""	100% duurzaam geteelde sinaasappels"" Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Alleen eventjes verhit voor houdbaarheid, dus geen conserveermiddelen 100% puur sap, van nature rijk aan vitamine c en een bron van foliumzuur en kalium","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Vruchtensappen & drank
 ""Sinaasappelsap & drank (jus dorange)""
 Sinaasappelsap & drank  (ongekoeld)","appelsientje [SEP] sinaasappel volle smaak [SEP] Appelsientje sinaasappelsap met minder fruitsuiker is net zo lekker als gewone appelsientje, maar dan minder zoet door 30% minder fruitsuiker. ""	100% duurzaam geteelde sinaasappels"" Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Alleen eventjes verhit voor houdbaarheid, dus geen conserveermiddelen 100% puur sap, van nature rijk aan vitamine c en een bron van foliumzuur en kalium [SEP] enkel sap basis",appelsientje sinaasappel volle smaak enkel sap basis,null,null,null
0.7057507,18504,485576,Appelsientje,Extra vruchtvlees voordeelpak,Appelsientje sinaasappel is 100% puur sap van 15 braziliaanse sinaasappels per liter. De sinaasappels worden met de hand geplukt en binnen 24 uur geperst. 100% duurzaam geteelde sinaasappels Van nature rijk aan vitamine c en een bron van foliumzuur en kalium Geen suiker toegevoegd: bevat alleen van nature aanwezige fruitsuikers,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Vruchtensappen & drank
 ""Sinaasappelsap & drank (jus dorange)""
 Sinaasappelsap & drank  (ongekoeld)",appelsientje [SEP] extra vruchtvlees voordeelpak [SEP] Appelsientje sinaasappel is 100% puur sap van 15 braziliaanse sinaasappels per liter. De sinaasappels worden met de hand geplukt en binnen 24 uur geperst. 100% duurzaam geteelde sinaasappels Van nature rijk aan vitamine c en een bron van foliumzuur en kalium Geen suiker toegevoegd: bevat alleen van nature aanwezige fruitsuikers [SEP] enkel sap basis,appelsientje extra vruchtvlees voordeelpak enkel sap basis,null,null,null
0.70081735,11347,436027,Appelsientje,Mango volle smaak,"Appelsientje mango met minder fruitsuiker is net zo lekker als gewone appelsientje, maar dan minder zoet door 30% minder fruitsuiker. Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Alleen eventjes verhit voor houdbaarheid, dus geen conserveermiddelen 100% puur sap, van nature rijk aan vitamine c en een bron van foliumzuur en kalium","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Vruchtensappen & drank
 Diverse sappen & dranken Mangosap & drank","appelsientje [SEP] mango volle smaak [SEP] Appelsientje mango met minder fruitsuiker is net zo lekker als gewone appelsientje, maar dan minder zoet door 30% minder fruitsuiker. Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Alleen eventjes verhit voor houdbaarheid, dus geen conserveermiddelen 100% puur sap, van nature rijk aan vitamine c en een bron van foliumzuur en kalium [SEP] enkel sap overig",appelsientje mango volle smaak enkel sap overig,null,null,null
0.6985119,13371,520745,Appelsientje,Fruit & groente mango komkommer passie,"Appelsientje fruit  en  groente is gemaakt van 100% sap van de lekkerste fruit en groente.. 100% sap uit fruit en groente Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Zonder kunstmatige smaak- en conserveermiddelen","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Vruchtensappen & drank
 Diverse sappen & dranken Mangosap & drank","appelsientje [SEP] fruit & groente mango komkommer passie [SEP] Appelsientje fruit  en  groente is gemaakt van 100% sap van de lekkerste fruit en groente.. 100% sap uit fruit en groente Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Zonder kunstmatige smaak- en conserveermiddelen [SEP] samengesteld sap",appelsientje fruit & groente mango komkommer passie samengesteld sap,null,null,null
0.69570494,13307,520708,Appelsientje,Fruit & groente appel rode biet framboos,"Appelsientje fruit  en  groente is gemaakt van 100% sap van de lekkerste fruit en groente.. 100% sap uit fruit en groente Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Zonder kunstmatige smaak- en conserveermiddelen","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Frisdrank sappen koffie thee Vruchtensappen & drank
 Appelsap & drank Appelsap & drank (ongekoeld)","appelsientje [SEP] fruit & groente appel rode biet framboos [SEP] Appelsientje fruit  en  groente is gemaakt van 100% sap van de lekkerste fruit en groente.. 100% sap uit fruit en groente Geen suiker toegevoegd, bevat alleen van nature aanwezige fruitsuikers Zonder kunstmatige smaak- en conserveermiddelen [SEP] samengesteld sap",appelsientje fruit & groente appel rode biet framboos samengesteld sap,null,null,null
