scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.69730675,13738,144877,AH,Choco's hazelnoten,Hele hazelnoten met een laagje melkchocolade. Lekker voor tussendoor Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Geen lupine'
 ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score E'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Prijsfavoriet'
 'Geen eieren' 'Vegetarisch' 'Geen selderij']",Snoep koek chips en chocolade Chocolade Chocoladesnoepjes,ah [SEP] choco's hazelnoten [SEP] Hele hazelnoten met een laagje melkchocolade. Lekker voor tussendoor Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] bitesizes,ah choco's hazelnoten bitesizes,null,null,null
0.6224885,12816,35395,Delicata,Puur hazelnoot,Heerlijke chocolade met stukjes geroosterde hazelnoot Met Belgische chocolade Krachtig van smaak Lekkere traktatie bij de koffie of thee,"['Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Nutri-Score E' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen selderij' 'Geen gluten']","Snoep koek chips en chocolade Chocolade Repen en tabletten
 Chocoladerepen met noten Pure chocolade repen
 Pure chocolade met noten",delicata [SEP] puur hazelnoot [SEP] Heerlijke chocolade met stukjes geroosterde hazelnoot Met Belgische chocolade Krachtig van smaak Lekkere traktatie bij de koffie of thee [SEP] repen en tabletten,delicata puur hazelnoot repen en tabletten,null,null,null
0.60812527,6407,437603,AH,Chocomix,"Een chocolademix van rozijnen, gebrande amandelen en hazelnoten omhuld met 28% melkchocolade, 24% witte chocolade en 17% pure chocolade. Een lekkere mix van zoet en hartig Een feestje voor bij de koffie of thee Met Rainforest Alliance gecertificeerde cacao en hazelnoot","['Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Geen lupine'
 ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score E'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Vegetarisch' 'Geen selderij' 'Geen gluten']","Ontbijtgranen en beleg Zoet broodbeleg Hagelslag en vlokken
 Hagelslag","ah [SEP] chocomix [SEP] Een chocolademix van rozijnen, gebrande amandelen en hazelnoten omhuld met 28% melkchocolade, 24% witte chocolade en 17% pure chocolade. Een lekkere mix van zoet en hartig Een feestje voor bij de koffie of thee Met Rainforest Alliance gecertificeerde cacao en hazelnoot [SEP] grootverpakking luxe",ah chocomix grootverpakking luxe,null,null,null
0.5966916,11029,35396,Delicata,Melk hazelnoot,Met stukjes geroosterde hazelnoot Chocolademakers sinds 1926,"['Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Nutri-Score E' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen selderij' 'Geen gluten']","Snoep koek chips en chocolade Chocolade Repen en tabletten
 Melkchocolade repen Chocoladerepen met noten
 Melkchocolade met noten",delicata [SEP] melk hazelnoot [SEP] Met stukjes geroosterde hazelnoot Chocolademakers sinds 1926 [SEP] repen en tabletten,delicata melk hazelnoot repen en tabletten,null,null,null
0.58644724,13,523480,Verkade,Hazelnoot & karamel knapperig,Een volle romige melkchocolade met knapperige Hazelnoot en stukjes karamel. Twee favorieten in één reep. Lekker langzaam smeltend Romige melkchocolade met knapperige hazelnoot en karamel Fairtrade,"['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen selderij']","Snoep koek chips en chocolade Chocolade Repen en tabletten
 Chocoladerepen met noten Pure chocolade repen
 Pure chocolade met noten",verkade [SEP] hazelnoot & karamel knapperig [SEP] Een volle romige melkchocolade met knapperige Hazelnoot en stukjes karamel. Twee favorieten in één reep. Lekker langzaam smeltend Romige melkchocolade met knapperige hazelnoot en karamel Fairtrade [SEP] repen en tabletten,verkade hazelnoot & karamel knapperig repen en tabletten,null,null,null
0.5855937,9852,508040,Hands Off,Vegan crunchy hazelnut,"Deze vegan crunchy hazelnoot reep is de lekkerste en vegan! Zonder melk dus, maar wel met lekkere romige vegan choco en knapperige stukjes hazelnoot. Probeer het nu zelf! Natuurlijk: geen kunstmatige kleur- en smaakstoffen Als lekkerste getest en gemaakt van eerlijke Belgische chocolade Volledig recyclebare verpakking Palmolievrij","['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen selderij'
 'Geen eieren']","Snoep koek chips en chocolade Chocolade Repen en tabletten
 Chocoladerepen met noten Pure chocolade repen
 Pure chocolade met noten","hands off [SEP] vegan crunchy hazelnut [SEP] Deze vegan crunchy hazelnoot reep is de lekkerste en vegan! Zonder melk dus, maar wel met lekkere romige vegan choco en knapperige stukjes hazelnoot. Probeer het nu zelf! Natuurlijk: geen kunstmatige kleur- en smaakstoffen Als lekkerste getest en gemaakt van eerlijke Belgische chocolade Volledig recyclebare verpakking Palmolievrij [SEP] repen en tabletten",hands off vegan crunchy hazelnut repen en tabletten,null,null,null
0.5804273,16163,507795,AH,Chocolade flikken noot rozijn,Melkchocolade flikken met rozijnen en hazelnoten Lekker voor bij de koffie of thee Leuk om uit te delen,"['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Nutri-Score E' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen selderij']",Snoep koek chips en chocolade Chocolade Luxe chocolade,ah [SEP] chocolade flikken noot rozijn [SEP] Melkchocolade flikken met rozijnen en hazelnoten Lekker voor bij de koffie of thee Leuk om uit te delen [SEP] specialiteiten,ah chocolade flikken noot rozijn specialiteiten,null,null,null
0.58035177,5781,193233,AH Biologisch,Pure chocolade met hazelnoot,Gemaakt van Delicata chocolade Met geroosterde hazelnoot,"['Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'fairtrade' 'biologisch' 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score E' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Geen eieren' 'Geen selderij' 'Geen gluten']","Snoep koek chips en chocolade Chocolade Repen en tabletten
 Chocoladerepen met noten Pure chocolade repen
 Pure chocolade met noten",ah biologisch [SEP] pure chocolade met hazelnoot [SEP] Gemaakt van Delicata chocolade Met geroosterde hazelnoot [SEP] repen en tabletten,ah biologisch pure chocolade met hazelnoot repen en tabletten,null,null,null
0.57668304,14734,502392,Verkade,Extra puur hazelnoot,"Knapperige stukken hazelnoot in extra pure chocolade. Extra veel cacao, dus lekker krachtig van smaak. Lekker langzaam smeltend De meest pure chocolade hazelnoot reep met ten minste 75% Fairtrade","['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen selderij']","Snoep koek chips en chocolade Chocolade Repen en tabletten
 Melkchocolade repen Chocoladerepen met noten
 Melkchocolade met noten","verkade [SEP] extra puur hazelnoot [SEP] Knapperige stukken hazelnoot in extra pure chocolade. Extra veel cacao, dus lekker krachtig van smaak. Lekker langzaam smeltend De meest pure chocolade hazelnoot reep met ten minste 75% Fairtrade [SEP] repen en tabletten",verkade extra puur hazelnoot repen en tabletten,null,null,null
0.57562786,5433,183101,Tony's Chocolonely,Melk hazelnoot,"Dit groentje is gemaakt van onze befaamde tony's melkchocolade en is gevuld met lekker knapperige hazelnoten. Een absolute redder in noot bij lekkere trek. S.o.s! Volle, romige melkchocolade met knapperige stukjes hazelnoot Onze missie is om samen 100% slaafvrij de norm te maken in chocolade Met elke hap doe jij mee met onze missie Onze repen zijn ongelijk verdeeld, omdat de chocolade-industrie dat ook is","['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'fairtrade' 'Geen melk' 'Laag vet'
 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen selderij'
 'Geen eieren']","Snoep koek chips en chocolade Chocolade Repen en tabletten
 Melkchocolade repen Chocoladerepen met noten
 Melkchocolade met noten","tony's chocolonely [SEP] melk hazelnoot [SEP] Dit groentje is gemaakt van onze befaamde tony's melkchocolade en is gevuld met lekker knapperige hazelnoten. Een absolute redder in noot bij lekkere trek. S.o.s! Volle, romige melkchocolade met knapperige stukjes hazelnoot Onze missie is om samen 100% slaafvrij de norm te maken in chocolade Met elke hap doe jij mee met onze missie Onze repen zijn ongelijk verdeeld, omdat de chocolade-industrie dat ook is [SEP] repen en tabletten",tony's chocolonely melk hazelnoot repen en tabletten,null,null,null
