scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.5522325,17635,209786,Melkunie,Milkshake aardbei,Melkunie milkshake aardbei heeft een heerlijk zachte aardbeismaak. Schudden voor gebruik Gekoeld het lekkerst,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Zuivel plantaardig en eieren Tussendoortjes Yoghurt en kwark
 Zuivel tussendoortjes (voor thuis en onderweg) Yoghurt
 Yoghurt tussendoortjes",melkunie [SEP] milkshake aardbei [SEP] Melkunie milkshake aardbei heeft een heerlijk zachte aardbeismaak. Schudden voor gebruik Gekoeld het lekkerst [SEP] zuiveldrank gezoet,melkunie milkshake aardbei zuiveldrank gezoet,null,null,null
0.5515244,9660,523483,AH,Melk,Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Nutri-Score E' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Prijsfavoriet'
 'Geen eieren' 'Geen selderij']","Snoep koek chips en chocolade Chocolade Repen en tabletten
 Melkchocolade repen Melkchocolade",ah [SEP] melk [SEP] Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] repen en tabletten,ah melk repen en tabletten,null,null,null
0.5226575,2709,523176,AH,houdbare volle melk 6-pack,AH Volle melk 6-pack AH volle melk x6,[],Zuivel plantaardig en eieren Melk Volle melk,ah [SEP] houdbare volle melk 6-pack [SEP] AH Volle melk 6-pack AH volle melk x6 [SEP] ,ah houdbare volle melk 6-pack ,null,null,null
0.52243364,14686,1516,AH,Magere melk,Natuurlijk lekker Makkelijk te openen en te hersluiten,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Geen mosterd' 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam' 'Laag vet'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']",Zuivel plantaardig en eieren Melk Magere melk,ah [SEP] magere melk [SEP] Natuurlijk lekker Makkelijk te openen en te hersluiten [SEP] halfvolle melk en magere melk,ah magere melk halfvolle melk en magere melk,null,null,null
0.5118587,10018,450535,AH,Volle melk,"Houdbare volle melk van 100% weidemelk, want de lekkerste melk komt van de gelukkigste koeien.. Heerlijk vol en romig van smaak Ideaal om romig cappuccinoschuim van te maken Prijsfavorieten: topkwaliteit en altijd laaggeprijsd","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score B' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Prijsfavoriet' 'Geen eieren' 'Geen noten' 'Geen selderij'
 'Geen gluten']","Zuivel plantaardig en eieren Melk Houdbare melk
 Volle houdbare melk","ah [SEP] volle melk [SEP] Houdbare volle melk van 100% weidemelk, want de lekkerste melk komt van de gelukkigste koeien.. Heerlijk vol en romig van smaak Ideaal om romig cappuccinoschuim van te maken Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] volle melk",ah volle melk volle melk,null,null,null
0.50821924,15922,520476,AH,houdbare magere melk 4-pack,AH Magere melk 4-pack AH Magere melk 4x,[],Zuivel plantaardig en eieren Melk Magere melk,ah [SEP] houdbare magere melk 4-pack [SEP] AH Magere melk 4-pack AH Magere melk 4x [SEP] ,ah houdbare magere melk 4-pack ,null,null,null
0.50741434,8555,209787,Melkunie,Milkshake banaan,Melkunie milkshake banaan heeft een heerlijk zachte banaansmaak. Schudden voor gebruik Gekoeld het lekkerst,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Zuivel plantaardig en eieren Tussendoortjes Yoghurt en kwark
 Zuivel tussendoortjes (voor thuis en onderweg) Yoghurt
 Yoghurt tussendoortjes",melkunie [SEP] milkshake banaan [SEP] Melkunie milkshake banaan heeft een heerlijk zachte banaansmaak. Schudden voor gebruik Gekoeld het lekkerst [SEP] zuiveldrank gezoet,melkunie milkshake banaan zuiveldrank gezoet,null,null,null
0.50532395,11438,447717,Holland Jersey,Volle melk,"Andere koe andere melk. Jersey melk is anders. Het bevat van nature meer proteïne en vet dan gewone melk. Perfect om op te schuimen voor in je cappuccino! Alleen gesteriliseerd en verder niks 6% vet en 4,2% proteïne Hollandse weidemelk Schuimt perfect voor cappuccino","['Geen lactose' 'Laag zout' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Vegetarisch' 'Geen eieren' 'Geen noten' 'Geen lupine'
 ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen selderij' 'Geen mosterd'
 'Geen sulfiet' 'Geen sesam' 'Geen gluten']","Zuivel plantaardig en eieren Melk Houdbare melk
 Volle houdbare melk","holland jersey [SEP] volle melk [SEP] Andere koe andere melk. Jersey melk is anders. Het bevat van nature meer proteïne en vet dan gewone melk. Perfect om op te schuimen voor in je cappuccino! Alleen gesteriliseerd en verder niks 6% vet en 4,2% proteïne Hollandse weidemelk Schuimt perfect voor cappuccino [SEP] volle melk",holland jersey volle melk volle melk,null,null,null
0.50157183,1169,382907,AH Biologisch,Halfvolle melk,"Een lekker glas koude halfvolle melk voor ieder moment van de dag. Melk van koeien die grazen op weilanden en biologisch voer krijgen Om zo te drinken maar ook voor toetjes, bij het bakken of voor havermout Voor het hele gezin Een lekkere dorstlesser","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' 'biologisch' ""Geen pinda's""
 'Geen melk' 'Geen mosterd' 'Nutri-Score B' 'Geen sulfiet' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']",Zuivel plantaardig en eieren Melk Halfvolle melk,"ah biologisch [SEP] halfvolle melk [SEP] Een lekker glas koude halfvolle melk voor ieder moment van de dag. Melk van koeien die grazen op weilanden en biologisch voer krijgen Om zo te drinken maar ook voor toetjes, bij het bakken of voor havermout Voor het hele gezin Een lekkere dorstlesser [SEP] halfvolle melk en magere melk",ah biologisch halfvolle melk halfvolle melk en magere melk,null,null,null
0.5006012,625,545264,AH,Digestive melk,Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen gluten' 'Geen lactose' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Nutri-Score E' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Prijsfavoriet'
 'Geen eieren' 'Geen noten' 'Geen selderij']",Snoep koek chips en chocolade Koek Koekjes met chocolade,ah [SEP] digestive melk [SEP] Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] verpakt trommel,ah digestive melk verpakt trommel,null,null,null
0.49843174,9969,33693,AH,Halfvolle melk,"Een koud glas halfvolle melk is op elk moment van de dag
				heerlijk. En ook nog eens heel gezond. Gezond Vers Lekker op elk moment v/d dag","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Geen mosterd' 'Nutri-Score B' 'Geen sulfiet' 'Geen sesam' 'Laag vet'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']",Zuivel plantaardig en eieren Melk Halfvolle melk,"ah [SEP] halfvolle melk [SEP] Een koud glas halfvolle melk is op elk moment van de dag
				heerlijk. En ook nog eens heel gezond. Gezond Vers Lekker op elk moment v/d dag [SEP] halfvolle melk en magere melk",ah halfvolle melk halfvolle melk en magere melk,null,null,null
0.49709398,10293,1524,AH,Volle melk,"Verse Volle melk Lekker vol van smaak Weidemelk keurmerk: koeien die minimaal 120 dagen, 6uur per dag in de wei lopen","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score B' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']",Zuivel plantaardig en eieren Melk Volle melk,"ah [SEP] volle melk [SEP] Verse Volle melk Lekker vol van smaak Weidemelk keurmerk: koeien die minimaal 120 dagen, 6uur per dag in de wei lopen [SEP] volle melk",ah volle melk volle melk,null,null,null
