scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.66885656,208,146483,AH,Pastasaus 5 kazen,Lekkere romige saus Heerlijk voor bij de verse pasta,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score C' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie
 Salades pizza maaltijden Verse pasta en pastasaus Sauzen
 Pasta rijst noedels Mediterrane keuken Pastasaus (vers)
 Pasta sauzen Italiaanse keuken Pasta Italiaanse pasta",ah [SEP] pastasaus 5 kazen [SEP] Lekkere romige saus Heerlijk voor bij de verse pasta [SEP] pastasaus,ah pastasaus 5 kazen pastasaus,null,null,null
0.6589206,10571,162601,AH,Pasta geraspte kaas,"Speciaal voor Pasta, een melange van maasdammer en Goudse jong belegen kaas. Smaak: Extra smeuïg Gemaakt van: Koemelk","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score D' 'Geen sulfiet'
 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Kaas vleeswaren tapas Kaas Kaas voor maaltijden Geraspte kaas,"ah [SEP] pasta geraspte kaas [SEP] Speciaal voor Pasta, een melange van maasdammer en Goudse jong belegen kaas. Smaak: Extra smeuïg Gemaakt van: Koemelk [SEP] kzb k rasp specialiteit",ah pasta geraspte kaas kzb k rasp specialiteit,null,null,null
0.6267696,5188,416656,AH,Basis pastasaus Italiaanse kruiden,Met deze basis pastasaus zet je in een handomdraai een op-en-top Italiaanse pasta op tafel. Buon appetito! Pastasaus vol Italiaanse kruiden Ook voor het bereiden van een heerlijke lasagnemaaltijd Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Geen selderij' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen mosterd' 'Geen lactose' 'Nutri-Score B' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet' 'Geen eieren'
 'Geen noten' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie Sauzen
 Mediterrane keuken Pasta sauzen Italiaanse keuken
 Pastasaus in pot",ah [SEP] basis pastasaus italiaanse kruiden [SEP] Met deze basis pastasaus zet je in een handomdraai een op-en-top Italiaanse pasta op tafel. Buon appetito! Pastasaus vol Italiaanse kruiden Ook voor het bereiden van een heerlijke lasagnemaaltijd Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] pastasaus pak,ah basis pastasaus italiaanse kruiden pastasaus pak,null,null,null
0.6014185,1084,416663,AH,Pastasaus basis pikant,Met deze pikante basis pastasaus zet je in een handomdraai een op-en-top Italiaanse pasta op tafel. Buon appetito! Pikante pastasaus met kruiden en extra virgine olijfolie Ook voor het bereiden van een heerlijke lasagnemaaltijd Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet'
 'Geen eieren' 'Geen mosterd' 'Geen selderij' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie Sauzen
 Mediterrane keuken Pasta sauzen Italiaanse keuken
 Pastasaus in pot",ah [SEP] pastasaus basis pikant [SEP] Met deze pikante basis pastasaus zet je in een handomdraai een op-en-top Italiaanse pasta op tafel. Buon appetito! Pikante pastasaus met kruiden en extra virgine olijfolie Ook voor het bereiden van een heerlijke lasagnemaaltijd Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] pastasaus pak,ah pastasaus basis pikant pastasaus pak,null,null,null
0.58770543,18995,416646,AH,Pastasaus tradizionale,"Zet een op-en-top Italiaans gerecht op tafel met de AH vernieuwde pastasauzen. Onweerstaanbaar rijk van smaak, en bovendien zonder toegevoegd suiker en verlaagd in zout met 25% of meer. Buon appetito! Voor een supersnelle pasta Verlaagd in zout >25% Zonder toegevoegd suiker Voeg ingrediënten naar smaak toe","['Geen melk' 'Geen noten' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)'
 'Geen vis' 'Geen selderij' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen mosterd' 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie Sauzen
 Mediterrane keuken Pasta sauzen Italiaanse keuken
 Pastasaus in pot","ah [SEP] pastasaus tradizionale [SEP] Zet een op-en-top Italiaans gerecht op tafel met de AH vernieuwde pastasauzen. Onweerstaanbaar rijk van smaak, en bovendien zonder toegevoegd suiker en verlaagd in zout met 25% of meer. Buon appetito! Voor een supersnelle pasta Verlaagd in zout >25% Zonder toegevoegd suiker Voeg ingrediënten naar smaak toe [SEP] pastasaus pot",ah pastasaus tradizionale pastasaus pot,null,null,null
0.58770543,5319,416644,AH,Pastasaus tradizionale,"Zet een op-en-top Italiaans gerecht op tafel met de AH vernieuwde pastasauzen. Onweerstaanbaar rijk van smaak, en bovendien zonder toegevoegd suiker en verlaagd in zout met 25% of meer. Buon appetito! Voor een supersnelle pasta Verlaagd in zout >25% Zonder toegevoegd suiker Voeg ingrediënten naar smaak toe","['Geen melk' 'Geen noten' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)'
 'Geen vis' 'Geen selderij' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen mosterd' 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie Sauzen
 Mediterrane keuken Pasta sauzen Italiaanse keuken
 Pastasaus in pot","ah [SEP] pastasaus tradizionale [SEP] Zet een op-en-top Italiaans gerecht op tafel met de AH vernieuwde pastasauzen. Onweerstaanbaar rijk van smaak, en bovendien zonder toegevoegd suiker en verlaagd in zout met 25% of meer. Buon appetito! Voor een supersnelle pasta Verlaagd in zout >25% Zonder toegevoegd suiker Voeg ingrediënten naar smaak toe [SEP] pastasaus pot",ah pastasaus tradizionale pastasaus pot,null,null,null
0.58350873,3340,96779,AH,Pastasaus napolitana,Kruidige tomatensaus Heerlijk voor bij de verse pasta,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Geen selderij' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen mosterd' 'Geen lactose' 'Nutri-Score B' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie
 Salades pizza maaltijden Verse pasta en pastasaus Sauzen
 Pasta rijst noedels Mediterrane keuken Pastasaus (vers)
 Pasta sauzen Italiaanse keuken Pasta Italiaanse pasta",ah [SEP] pastasaus napolitana [SEP] Kruidige tomatensaus Heerlijk voor bij de verse pasta [SEP] pastasaus,ah pastasaus napolitana pastasaus,null,null,null
0.5790231,17415,461894,Mutti,Pastasaus Parmigiano Reggiano,Tomatensaus op basis van polpa (fijngesneden tomaten) en op smaak gebracht met pure ingredienten. Je proeft het heerlijke italie! Gebruik de sauzen voor 100% pasta succes. Pastasaus met parmigiano reggiano kaas 100% italiaans Kant-en-klaar voor gebruik Voor heerlijke pastagerechten,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie Sauzen
 Mediterrane keuken Pasta sauzen Italiaanse keuken
 Pastasaus in pot",mutti [SEP] pastasaus parmigiano reggiano [SEP] Tomatensaus op basis van polpa (fijngesneden tomaten) en op smaak gebracht met pure ingredienten. Je proeft het heerlijke italie! Gebruik de sauzen voor 100% pasta succes. Pastasaus met parmigiano reggiano kaas 100% italiaans Kant-en-klaar voor gebruik Voor heerlijke pastagerechten [SEP] pastasaus pot,mutti pastasaus parmigiano reggiano pastasaus pot,null,null,null
0.57628405,10443,96778,AH,Pastasaus carbonara,Romige saus met spekjes Heerlijk voor bij de verse pasta,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score C' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie
 Salades pizza maaltijden Verse pasta en pastasaus Sauzen
 Pasta rijst noedels Mediterrane keuken Pastasaus (vers)
 Pasta sauzen Italiaanse keuken Pasta Italiaanse pasta",ah [SEP] pastasaus carbonara [SEP] Romige saus met spekjes Heerlijk voor bij de verse pasta [SEP] pastasaus,ah pastasaus carbonara pastasaus,null,null,null
0.5735564,5973,416654,AH,Pastasaus basis basilicum,Met deze basis pastasaus zet je in een handomdraai een op-en-top Italiaanse pasta op tafel. Buon appetito! Pastasaus met basilicum en knoflook Ook voor het bereiden van een heerlijke lasagnemaaltijd Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie Sauzen
 Mediterrane keuken Pasta sauzen Italiaanse keuken
 Pastasaus in pot",ah [SEP] pastasaus basis basilicum [SEP] Met deze basis pastasaus zet je in een handomdraai een op-en-top Italiaanse pasta op tafel. Buon appetito! Pastasaus met basilicum en knoflook Ook voor het bereiden van een heerlijke lasagnemaaltijd Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] pastasaus pak,ah pastasaus basis basilicum pastasaus pak,null,null,null
