scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.59609103,18864,369556,Villebois,Sauvignon Blanc,"Een wijn waar het fruit uitspat! Doet denken aan de intense aromatische Nieuw-Zeelandse Sauvignon Blanc. Opwekkend met tonen van citrus, gemaaid gras en kruisbessen. Zeer toegankelijk van smaak. Een ideale wijn voor bij het aperitief en bij geitenkazen. Deze wijn won een gouden médaille bij het concours mondial Bruxelles en een zilveren médaille bij de International Wine Challenge.",[],"Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Frankrijk)","villebois [SEP] sauvignon blanc [SEP] Een wijn waar het fruit uitspat! Doet denken aan de intense aromatische Nieuw-Zeelandse Sauvignon Blanc. Opwekkend met tonen van citrus, gemaaid gras en kruisbessen. Zeer toegankelijk van smaak. Een ideale wijn voor bij het aperitief en bij geitenkazen. Deze wijn won een gouden médaille bij het concours mondial Bruxelles en een zilveren médaille bij de International Wine Challenge. [SEP] ",villebois sauvignon blanc ,null,null,null
0.5884432,18431,496587,2Wine,White,"Een droge witte wijn boordevol geurig fruit en met knisperende zuren. Precies wat je van een sauvignon blanc verwacht, alleen nu in een handig, licht blikje van 25 cl. Net zo lekker en eco-friendly. Kleur, smaak: Wit, fris en droog Druivenras: Sauvignon blanc Land, streek: Frankrijk Lekker bij: Salade, vis","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Geen sesam' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Wijn en bubbels Wijnflesjes (klein) Witte wijn Witte wijn (klein),"2wine [SEP] white [SEP] Een droge witte wijn boordevol geurig fruit en met knisperende zuren. Precies wat je van een sauvignon blanc verwacht, alleen nu in een handig, licht blikje van 25 cl. Net zo lekker en eco-friendly. Kleur, smaak: Wit, fris en droog Druivenras: Sauvignon blanc Land, streek: Frankrijk Lekker bij: Salade, vis [SEP] wit",2wine white wit,null,null,null
0.58578193,18674,192789,Arrogant Frog,Vineyard Selection Sauvignon Blanc,"De druiven voor deze frisse, maar toch rijke sauvignon blanc zijn afkomstig van een speciaal geselecteerde wijngaard. Jean-claude mas, de wijnmaker, maakte er een aangename wijn van, perfect bij het aperitief.",[],"Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Frankrijk)","arrogant frog [SEP] vineyard selection sauvignon blanc [SEP] De druiven voor deze frisse, maar toch rijke sauvignon blanc zijn afkomstig van een speciaal geselecteerde wijngaard. Jean-claude mas, de wijnmaker, maakte er een aangename wijn van, perfect bij het aperitief. [SEP] ",arrogant frog vineyard selection sauvignon blanc ,null,null,null
0.5839462,5722,492374,Origin,Sauvignon Blanc wijntap,"In de handige wijntap zit 2,25 liter (is 3 flessen) sauvignon blanc. Hij is fris met aromas van citrus en perzik. In de koelkast blijft deze heerlijke borrelwijn na opening minstens 4 weken goed. Kleur, smaak: Wit, vol  en  droog Druivenras: Sauvignon blanc Land, streek: Zuid-afrika, western cape Lekker bij: Salades, vis","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Veganistisch' 'Geen sesam'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Wijn en bubbels Wijntaps,"origin [SEP] sauvignon blanc wijntap [SEP] In de handige wijntap zit 2,25 liter (is 3 flessen) sauvignon blanc. Hij is fris met aromas van citrus en perzik. In de koelkast blijft deze heerlijke borrelwijn na opening minstens 4 weken goed. Kleur, smaak: Wit, vol  en  droog Druivenras: Sauvignon blanc Land, streek: Zuid-afrika, western cape Lekker bij: Salades, vis [SEP] wit",origin sauvignon blanc wijntap wit,null,null,null
0.5837374,18424,460316,Mucho Más,Blanco,"Het doel van deze wijn was om een onderscheidende stijl te creëren door de kwaliteiten van drie verschillende druivensoorten (verdejo, sauvignon blanc en chardonnay) te benutten.",[],"Wijn en bubbels Witte wijn Wijn per doos Witte wijn per doos
 Fris & fruitig witte wijn (per doos)","mucho más [SEP] blanco [SEP] Het doel van deze wijn was om een onderscheidende stijl te creëren door de kwaliteiten van drie verschillende druivensoorten (verdejo, sauvignon blanc en chardonnay) te benutten. [SEP] ",mucho más blanco ,null,null,null
0.5779228,16622,226851,Natura,Organic Viognier,"Deze witte wijn heeft een heerlijke geur van limoen en vers citroensap, naast tonen van brioche en bloesem. Je proeft rijp geel fruit als abrikozen en perziken, naast een prachtige verfrissende smaak en afdronk. Met een hint van houtlagering die ondersteunt maar niet overheerst.","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Veganistisch' 'Geen sesam'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Wijn en bubbels Witte wijn Viognier Viognier (Chili),"natura [SEP] organic viognier [SEP] Deze witte wijn heeft een heerlijke geur van limoen en vers citroensap, naast tonen van brioche en bloesem. Je proeft rijp geel fruit als abrikozen en perziken, naast een prachtige verfrissende smaak en afdronk. Met een hint van houtlagering die ondersteunt maar niet overheerst. [SEP] wit vol",natura organic viognier wit vol,null,null,null
0.5774673,19212,169509,Arrogant Frog,Lily Pad white Viognier,"Deze viognier is uitzonderlijk goed gemaakt. Knap, want een een goede viognier wijn maken is zeer moeilijk! Deze smaakvolle witte wijn heeft een mooie zuurgraad die de wijn perfect in balans houdt.",[],Wijn en bubbels Witte wijn Viognier Viognier (Frankrijk),"arrogant frog [SEP] lily pad white viognier [SEP] Deze viognier is uitzonderlijk goed gemaakt. Knap, want een een goede viognier wijn maken is zeer moeilijk! Deze smaakvolle witte wijn heeft een mooie zuurgraad die de wijn perfect in balans houdt. [SEP] ",arrogant frog lily pad white viognier ,null,null,null
0.5774673,14987,169515,Arrogant Frog,Lily Pad white Viognier,"Deze viognier is uitzonderlijk goed gemaakt. Knap, want een
					 een goede viognier wijn maken is zeer moeilijk! Deze smaakvolle witte wijn
					 heeft een mooie zuurgraad die de wijn perfect in balans houdt.",[],"Wijn en bubbels Witte wijn Wijn per doos Witte wijn per doos
 Fris & fruitig witte wijn (per doos)","arrogant frog [SEP] lily pad white viognier [SEP] Deze viognier is uitzonderlijk goed gemaakt. Knap, want een
					 een goede viognier wijn maken is zeer moeilijk! Deze smaakvolle witte wijn
					 heeft een mooie zuurgraad die de wijn perfect in balans houdt. [SEP] ",arrogant frog lily pad white viognier ,null,null,null
0.57360053,17252,221384,Winzerkeller Andau,Grüner Veltliner,"In de geur van deze super frisse Grüner Veltiner ruik je
				  pitten van perziken en een beetje een kruidige geur. Je kunt hem ook gewoon
				  lekker gaan proeven. Misschien ontdek je dan nog de elegante smaak met mooie,
				  verfijnde zuren. En misschien geniet je gewoon op je eigen manier. Want dat kan
				  goed met deze heerlijke wijn.",[],"Wijn en bubbels Witte wijn Wijn per doos Witte wijn per doos
 Lichtzoete witte wijn (per doos)","winzerkeller andau [SEP] grüner veltliner [SEP] In de geur van deze super frisse Grüner Veltiner ruik je
				  pitten van perziken en een beetje een kruidige geur. Je kunt hem ook gewoon
				  lekker gaan proeven. Misschien ontdek je dan nog de elegante smaak met mooie,
				  verfijnde zuren. En misschien geniet je gewoon op je eigen manier. Want dat kan
				  goed met deze heerlijke wijn. [SEP] ",winzerkeller andau grüner veltliner ,null,null,null
0.57360053,6315,221378,Winzerkeller Andau,Grüner Veltliner,"In de geur van deze super frisse Grüner Veltiner ruik
					 je pitten van perziken en een beetje een kruidige geur. Je kunt hem ook gewoon
					 lekker gaan proeven. Misschien ontdek je dan nog de elegante smaak met mooie,
					 verfijnde zuren. En misschien geniet je gewoon op je eigen manier. Want dat kan
					 goed met deze heerlijke wijn.",[],"Wijn en bubbels Witte wijn Grüner Veltliner
 Grüner Veltliner (Oostenrijk)","winzerkeller andau [SEP] grüner veltliner [SEP] In de geur van deze super frisse Grüner Veltiner ruik
					 je pitten van perziken en een beetje een kruidige geur. Je kunt hem ook gewoon
					 lekker gaan proeven. Misschien ontdek je dan nog de elegante smaak met mooie,
					 verfijnde zuren. En misschien geniet je gewoon op je eigen manier. Want dat kan
					 goed met deze heerlijke wijn. [SEP] ",winzerkeller andau grüner veltliner ,null,null,null
