scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.22342397,19328,126428,AH,Groene olijven in plakjes,"Gesneden groene olijven, gepasteuriseerd. Prijsfavorieten: topkwaliteit en altijd laaggeprijsd","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Nutri-Score C' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Pasta rijst en wereldkeuken Mediterrane keuken Olijven
 Groene olijven","ah [SEP] groene olijven in plakjes [SEP] Gesneden groene olijven, gepasteuriseerd. Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] toevoegingen olijven",ah groene olijven in plakjes toevoegingen olijven,null,null,null
0.21314123,10226,525265,AH Biologisch,Shiitake,,"['Geen lactose' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen lupine' 'biologisch'
 ""Geen pinda's"" 'Geen mosterd' 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']",Aardappel groente fruit Groente Paddenstoelen Shi take,ah biologisch [SEP] shiitake [SEP]  [SEP] specials,ah biologisch shiitake specials,null,null,null
0.21254522,8425,545726,AH Biologisch,Alfalfa,,"['Geen lactose' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen lupine' 'biologisch'
 ""Geen pinda's"" 'Geen mosterd' 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']",Aardappel groente fruit Groente Kiemgroenten Alfalfa,ah biologisch [SEP] alfalfa [SEP]  [SEP] overige verrijkers,ah biologisch alfalfa overige verrijkers,null,null,null
0.21177948,8704,525262,AH Biologisch,Portobello,,"['Geen lactose' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen lupine' 'biologisch'
 ""Geen pinda's"" 'Geen mosterd' 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Aardappel groente fruit Groente Paddenstoelen Champignons
 Champignons (vers)",ah biologisch [SEP] portobello [SEP]  [SEP] specials,ah biologisch portobello specials,null,null,null
0.21159807,15849,224353,AH,AH rijstevlaai half 1st x1,"1/2 Rijstevlaai met een heerlijk licht zoete rijstevulling,
					 afgewerkt met verse slagroom en melkchocoladeschaafsel Echte luxe Limburgse vlaai Bereid met romige rijstepap en afgewerkt met echte 						  slagroom","['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Geen lupine'
 ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score D'
 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Vegetarisch'
 'Geen selderij' 'Geen eieren']",Bakkerij en banket Gebak Vlaai,"ah [SEP] ah rijstevlaai half 1st x1 [SEP] 1/2 Rijstevlaai met een heerlijk licht zoete rijstevulling,
					 afgewerkt met verse slagroom en melkchocoladeschaafsel Echte luxe Limburgse vlaai Bereid met romige rijstepap en afgewerkt met echte 						  slagroom [SEP] vlaaien",ah ah rijstevlaai half 1st x1 vlaaien,null,null,null
0.20594373,18220,540546,AH,Zeewier sesam,,"['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Nutri-Score B' 'Geen sulfiet' 'Geen sesam'
 'Veganistisch' 'Laag zout' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Geen eieren' 'Geen selderij' 'Geen gluten']",Kaas vleeswaren tapas Borrelhapjes Borrelhapjes groente,ah [SEP] zeewier sesam [SEP]  [SEP] chips,ah zeewier sesam chips,null,null,null
0.20430118,14593,195777,Princes,Kabeljauwlever,Msc kabeljauwlever in eigen olie: zeer rijk aan omega-3 vetzuren. Heerlijk in blokjes gesneden toe te passen in een koude salade. Heerlijke kabeljauwlever in eigen olie Zeer rijk aan omega-3 vetzuren Duurzaam gevangen - msc gecertificeerd,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Laag suiker' 'Geen lupine' 'duurzame vangst' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Geen sulfiet' 'Geen sesam' 'Geen vis'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']","Vlees kip vis vega Soepen sauzen kruiden olie Vis Conserven
 Visconserven Kabeljauwlever (conserven)",princes [SEP] kabeljauwlever [SEP] Msc kabeljauwlever in eigen olie: zeer rijk aan omega-3 vetzuren. Heerlijk in blokjes gesneden toe te passen in een koude salade. Heerlijke kabeljauwlever in eigen olie Zeer rijk aan omega-3 vetzuren Duurzaam gevangen - msc gecertificeerd [SEP] overig visconserven,princes kabeljauwlever overig visconserven,null,null,null
0.20003864,8905,952,AH,Patent tarwebloem,Zorgvuldig geselecteerde tarwe van hoge kwaliteit Zeer fijn gemalen,"['Geen gluten' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine'
 ""Geen pinda's"" 'Geen mosterd' 'Geen lactose' 'Nutri-Score A'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij']","Pasta rijst en wereldkeuken Bakkerij en banket
 Snoep koek chips en chocolade Zelf bakken Bakproducten
 Basis bakbenodigdheden Basismeel bloem Tarwebloem",ah [SEP] patent tarwebloem [SEP] Zorgvuldig geselecteerde tarwe van hoge kwaliteit Zeer fijn gemalen [SEP] hm basismeel,ah patent tarwebloem hm basismeel,null,null,null
0.1989628,4405,507897,Leev,Bio qrackers proteine flaxseed,Biologische crackers met een zeer hoog eiwit gehalte. Biologisch Rijk aan proteine en energie Laag in koolhydraten,"['Geen gluten' 'Geen lactose' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Laag suiker'
 'Vegetarisch' 'biologisch' ""Geen pinda's"" 'Geen melk' 'Laag vet'
 'Geen mosterd' 'Geen lupine' 'Geen sulfiet' 'Geen sesam' 'Veganistisch'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen noten'
 'Geen selderij' 'Geen eieren']","Bewuste voeding Bakkerij en banket Glutenvrij koolhydraatarm
 Koolhydraatarm Brood Brood en crackers (koolhydraatarm)",leev [SEP] bio qrackers proteine flaxseed [SEP] Biologische crackers met een zeer hoog eiwit gehalte. Biologisch Rijk aan proteine en energie Laag in koolhydraten [SEP] bio ontbijt en lunch,leev bio qrackers proteine flaxseed bio ontbijt en lunch,null,null,null
0.19884604,18521,480803,Bertolli,Extra vergine gentile olijfolie,"Deze olijfolie verrast met zijn zoete noot, maar gaat subtiel over in een nootachtige smaak met een vleugje tomaat en groente. Kenmerkend is zijn lichte scherpte. Met zijn zoet-fruitige smaak is deze extra vergine ideaal voor beginners Van onder andere de olijfsoorten koroneiki, picual en arbequina Bijzonder geschikt voor gevogelte, visgerechten en frisse salades Eenvoudig en elegant","['Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen schelpdieren (schaaldieren)' 'Vegetarisch'
 'Geen eieren' 'Geen noten' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen selderij' 'Geen mosterd' 'Geen lactose' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie
 Olie en frituurvet Olie voor koud gebruik Olijfolie
 Olijfolie extra vierge Extra vierge dagelijks","bertolli [SEP] extra vergine gentile olijfolie [SEP] Deze olijfolie verrast met zijn zoete noot, maar gaat subtiel over in een nootachtige smaak met een vleugje tomaat en groente. Kenmerkend is zijn lichte scherpte. Met zijn zoet-fruitige smaak is deze extra vergine ideaal voor beginners Van onder andere de olijfsoorten koroneiki, picual en arbequina Bijzonder geschikt voor gevogelte, visgerechten en frisse salades Eenvoudig en elegant [SEP] olijfolie",bertolli extra vergine gentile olijfolie olijfolie,null,null,null
