scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.2728678,7020,517294,AH,Ongezouten notenmix,Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Laag vet' 'Geen mosterd' 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet' 'Geen eieren'
 'Geen selderij' 'Geen gluten']","Snoep koek chips en chocolade Noten Noten in zak
 Notenmix (zakje)",ah [SEP] ongezouten notenmix [SEP] Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] grootverpakking basis,ah ongezouten notenmix grootverpakking basis,null,null,null
0.2723102,10771,541506,AH Biologisch,Pistache & notenmix,,"['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'biologisch' 'Laag vet' 'Geen mosterd' 'Geen lactose' 'Nutri-Score B'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen selderij'
 'Geen gluten']","Ontbijtgranen en beleg Bewuste voeding Ontbijtgranen Wholefoods
 Noten (superfoods) Ontbijtverrijkers (toppings) Noten en fruitmix",ah biologisch [SEP] pistache & notenmix [SEP]  [SEP] bio noten,ah biologisch pistache & notenmix bio noten,null,null,null
0.27199414,14257,457638,AH,Pinda's ongezouten,,"['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Nutri-Score B' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen selderij' 'Geen gluten']","Snoep koek chips en chocolade Noten Noten in bakje
 ""Pindas (bakje)""",ah [SEP] pinda's ongezouten [SEP]  [SEP] 3v6 noten,ah pinda's ongezouten 3v6 noten,null,null,null
0.26822436,2160,470039,Smaakt,Lijnzaadcrackers maanzaad less carb,Biologisch. Vrij van kunstmaige geur- kleur- en smaakstoffen Geschikt voor vegetariers en veganisten Zonder geraffineerde toegevoegde suikers,"['Geen melk' 'Geen noten' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)'
 'Geen vis' 'Laag suiker' 'Vegetarisch' ""Geen pinda's"" 'biologisch'
 'Laag vet' 'Geen mosterd' 'Geen lupine' 'Geen lactose' 'Geen sulfiet'
 'Geen sesam' 'Veganistisch' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen selderij'
 'Geen gluten']","Bewuste voeding Bakkerij en banket Glutenvrij koolhydraatarm
 Koolhydraatarm Brood Brood en crackers (koolhydraatarm)",smaakt [SEP] lijnzaadcrackers maanzaad less carb [SEP] Biologisch. Vrij van kunstmaige geur- kleur- en smaakstoffen Geschikt voor vegetariers en veganisten Zonder geraffineerde toegevoegde suikers [SEP] bio ontbijt en lunch,smaakt lijnzaadcrackers maanzaad less carb bio ontbijt en lunch,null,null,null
0.26703328,4905,492706,AH,Chiazaad,,"['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Laag vet' 'Geen mosterd' 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet'
 'Geen sesam' 'Veganistisch' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen selderij'
 'Geen gluten']","Pasta rijst en wereldkeuken Bakkerij en banket
 Soepen sauzen kruiden olie Snoep koek chips en chocolade
 Zelf bakken Noten Garnering Bakproducten Noten pittengarnering
 Garneringen toevoegingen Toevoegingen toppings versiering
 Noten garnering","ah [SEP] chiazaad [SEP]  [SEP] bt baknoten, zaden en pitten","ah chiazaad bt baknoten, zaden en pitten",null,null,null
0.256416,14531,108025,AH,Pitloze kersen op siroop,"Allergie-informatie: koemelk-, lactose- en glutenvrij. Prijsfavorieten: topkwaliteit en altijd laaggeprijsd","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Prijsfavoriet'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Aardappel groente fruit Soepen sauzen kruiden olie Conserven
 Fruit Fruitconserven Druiven kersen Kersen Kersen (conserven)","ah [SEP] pitloze kersen op siroop [SEP] Allergie-informatie: koemelk-, lactose- en glutenvrij. Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] overige vruchtenconserven",ah pitloze kersen op siroop overige vruchtenconserven,null,null,null
0.2558726,10947,470040,Smaakt,Lijnzaadcrackers,Biologisch. Vrij van kunstmaige geur- kleur- en smaakstoffen Geschikt voor vegetariers en veganisten Zonder geraffineerde toegevoegde suikers,"['Geen melk' 'Geen noten' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)'
 'Geen vis' 'Laag suiker' 'Vegetarisch' ""Geen pinda's"" 'biologisch'
 'Laag vet' 'Geen mosterd' 'Geen lupine' 'Geen lactose' 'Geen sulfiet'
 'Geen sesam' 'Veganistisch' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen selderij'
 'Geen gluten']","Bewuste voeding Bakkerij en banket Glutenvrij koolhydraatarm
 Koolhydraatarm Brood Brood en crackers (koolhydraatarm)",smaakt [SEP] lijnzaadcrackers [SEP] Biologisch. Vrij van kunstmaige geur- kleur- en smaakstoffen Geschikt voor vegetariers en veganisten Zonder geraffineerde toegevoegde suikers [SEP] bio ontbijt en lunch,smaakt lijnzaadcrackers bio ontbijt en lunch,null,null,null
0.25529647,4891,492704,AH,Lijnzaad,,"['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Laag vet' 'Geen mosterd' 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet'
 'Geen sesam' 'Veganistisch' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen selderij'
 'Geen gluten']","Pasta rijst en wereldkeuken Bakkerij en banket
 Soepen sauzen kruiden olie Snoep koek chips en chocolade
 Zelf bakken Noten Garnering Bakproducten Noten pittengarnering
 Garneringen toevoegingen Toevoegingen toppings versiering
 Noten garnering","ah [SEP] lijnzaad [SEP]  [SEP] bt baknoten, zaden en pitten","ah lijnzaad bt baknoten, zaden en pitten",null,null,null
0.25448558,15522,457537,AH,Pecannoten ongezouten,,"['Laag zout' 'Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen schelpdieren (schaaldieren)'
 'Vegetarisch' 'Geen eieren' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen selderij' 'Geen mosterd' 'Geen lactose' 'Nutri-Score B'
 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Geen gluten']","Bewuste voeding Snoep koek chips en chocolade Noten Wholefoods
 Noten in zak Noten (superfoods) Paranoten (zakje)",ah [SEP] pecannoten ongezouten [SEP]  [SEP] 3v6 noten,ah pecannoten ongezouten 3v6 noten,null,null,null
0.25173908,13664,520117,AH,Ongezouten pistaches,Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Nutri-Score B' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Prijsfavoriet'
 'Geen eieren' 'Geen selderij' 'Geen gluten']","Snoep koek chips en chocolade Noten Noten in zak
 Pistachenoten (zakje)",ah [SEP] ongezouten pistaches [SEP] Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] ongezouten noten,ah ongezouten pistaches ongezouten noten,null,null,null
