scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.22642203,13765,543345,AH,Achterham,Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Nutri-Score C' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet'
 'Geen eieren' 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']","Ontbijtgranen en beleg Kaas vleeswaren tapas Vleeswaren
 Vleeswaren beleg Voorverpakt Ham Ham broodbeleg
 Achterham (voorverpakt) Achterham",ah [SEP] achterham [SEP] Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] kookham plakjes hb,ah achterham kookham plakjes hb,null,null,null
0.21682735,8571,546331,AH Biologisch,Achterham 4-pack,Altijd fijn voor de voorraad! Dit pakket bestaat uit: AH Biologisch Achterham 4x,[],"Ontbijtgranen en beleg Kaas vleeswaren tapas Vleeswaren
 Vleeswaren beleg Ham Ham broodbeleg Achterham
 Achterham (versafdeling)",ah biologisch [SEP] achterham 4-pack [SEP] Altijd fijn voor de voorraad! Dit pakket bestaat uit: AH Biologisch Achterham 4x [SEP] ,ah biologisch achterham 4-pack ,null,null,null
0.19715676,7898,532873,AH,Verse kip ketjap,,"['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja' 'Geen sulfiet'
 'Geen selderij' 'Geen kreeftachtigen (schaaldieren)' ""Geen pinda's""
 'Geen schelpdieren (schaaldieren)' 'Geen melk' 'Geen lupine' 'Geen sesam'
 'Geen vis' 'Veganistisch' 'Geen mosterd' 'Vegetarisch' 'Geen eieren']","Salades pizza maaltijden AH Vers uit eigen keuken
 Verse kant- en-klaar maaltijden Verse Maaltijden",ah [SEP] verse kip ketjap [SEP]  [SEP] ultra verse maaltijden,ah verse kip ketjap ultra verse maaltijden,null,null,null
0.18821338,6572,489279,AH,Vegan Boterhamworst,Lekker op een boterham Veganistisch,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Ontbijtgranen en beleg Kaas vleeswaren tapas Vleeswaren
 Vleeswaren beleg Boterhamworst Vegetarische vleeswaren
 Boterhamworst - vegetarisch",ah [SEP] vegan boterhamworst [SEP] Lekker op een boterham Veganistisch [SEP] plakken plantaardig vega,ah vegan boterhamworst plakken plantaardig vega,null,null,null
0.18793236,46,214660,Croma,Bakken en braden voordeelfles,"Croma vloeibare bakboter voor perfect vlees - Croma is de expert voor het bakken en braden van alle soorten vlees.. 91% plantaardige olien en vetten, dus spat niet van zichzelf Schroeit het vlees direct dicht, daarom malser Geeft je een heerlijke jus Geeft het vlees een mooie bruin kleur","['Geen lactose' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Ontbijtgranen en beleg Zuivel plantaardig en eieren Boter
 Boter voor de keuken Vloeibare margarine","croma [SEP] bakken en braden voordeelfles [SEP] Croma vloeibare bakboter voor perfect vlees - Croma is de expert voor het bakken en braden van alle soorten vlees.. 91% plantaardige olien en vetten, dus spat niet van zichzelf Schroeit het vlees direct dicht, daarom malser Geeft je een heerlijke jus Geeft het vlees een mooie bruin kleur [SEP] margarine vloeibaar",croma bakken en braden voordeelfles margarine vloeibaar,null,null,null
0.18728665,18838,490273,AH,Cranberrymix ongezouten,,"['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Nutri-Score C' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen selderij' 'Geen gluten']","Snoep koek chips en chocolade Noten Noten in zak
 Notenmix (zakje)",ah [SEP] cranberrymix ongezouten [SEP]  [SEP] 3v6 noten,ah cranberrymix ongezouten 3v6 noten,null,null,null
0.18705475,4465,489280,AH,Vegan Ham,Lekker op een boterham Veganistisch,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Ontbijtgranen en beleg Kaas vleeswaren tapas Vleeswaren
 Vleeswaren beleg Vegetarische vleeswaren Ham broodbeleg
 Ham - vegetarisch",ah [SEP] vegan ham [SEP] Lekker op een boterham Veganistisch [SEP] plakken plantaardig vega,ah vegan ham plakken plantaardig vega,null,null,null
0.18699586,12808,492910,TastyBasics,Crackers maanzaad en olijf,"Deze crackers bevatten 80% minder koolhydraten. Ze zijn gemaakt op basis van onbewerkte ingredienten en grondstoffen rijk aan eiwitten en/of vezels. Dat voedt beter, Smaakt beter en voelt beter! Voedzaam Rijk aan vezels en eiwitten 0% toegevoegde suikers 8 crackers van ca. 25 gram","['Geen gluten' 'Geen lactose' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Laag suiker'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet'
 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij']","Bewuste voeding Bakkerij en banket Glutenvrij koolhydraatarm
 Koolhydraatarm Brood Brood en crackers (koolhydraatarm)","tastybasics [SEP] crackers maanzaad en olijf [SEP] Deze crackers bevatten 80% minder koolhydraten. Ze zijn gemaakt op basis van onbewerkte ingredienten en grondstoffen rijk aan eiwitten en/of vezels. Dat voedt beter, Smaakt beter en voelt beter! Voedzaam Rijk aan vezels en eiwitten 0% toegevoegde suikers 8 crackers van ca. 25 gram [SEP] crackers",tastybasics crackers maanzaad en olijf crackers,null,null,null
0.18525122,720,457664,AH,Cranberrymix,,"['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Nutri-Score B' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen selderij' 'Geen gluten']","Snoep koek chips en chocolade Noten Noten in zak
 Notenmix (zakje)",ah [SEP] cranberrymix [SEP]  [SEP] 3v6 noten,ah cranberrymix 3v6 noten,null,null,null
0.18513893,1658,508478,AH,Sesam crackers,,"['Geen gluten' 'Geen lactose' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score E' 'Geen sulfiet'
 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen noten'
 'Geen selderij' 'Geen eieren']","Ontbijtgranen en beleg Bakkerij en banket Tussendoortjes
 Snoep koek chips en chocolade Toastjes Crackers
 Crackers rijstwafels Toast-crackers",ah [SEP] sesam crackers [SEP]  [SEP] overige toast,ah sesam crackers overige toast,null,null,null
