epoch,steps,cos_sim-Accuracy@1,cos_sim-Accuracy@3,cos_sim-Accuracy@5,cos_sim-Accuracy@10,cos_sim-Precision@10,cos_sim-Recall@10,cos_sim-Precision@25,cos_sim-Recall@25,cos_sim-Precision@50,cos_sim-Recall@50,cos_sim-Precision@100,cos_sim-Recall@100,cos_sim-MRR@36,cos_sim-NDCG@36,cos_sim-MAP@100,dot_score-Accuracy@1,dot_score-Accuracy@3,dot_score-Accuracy@5,dot_score-Accuracy@10,dot_score-Precision@10,dot_score-Recall@10,dot_score-Precision@25,dot_score-Recall@25,dot_score-Precision@50,dot_score-Recall@50,dot_score-Precision@100,dot_score-Recall@100,dot_score-MRR@36,dot_score-NDCG@36,dot_score-MAP@100
0,-1,0.3086560364464693,0.4396355353075171,0.4840546697038724,0.5444191343963554,0.1719817767653758,0.2784182168495834,0.1057403189066059,0.3722524034544635,0.066127562642369,0.4368161840798668,0.0388041002277904,0.5017441753037486,0.3909029873099802,0.3336207671813813,0.2515469791098184,0.3086560364464693,0.4396355353075171,0.4840546697038724,0.5444191343963554,0.1719817767653758,0.2784182168495834,0.1057403189066059,0.3722524034544635,0.066127562642369,0.4368161840798668,0.0388041002277904,0.5017441753037486,0.3909029873099802,0.3336213174970355,0.2515481318954095
1,-1,0.347380410022779,0.4851936218678815,0.5444191343963554,0.6082004555808656,0.2046697038724373,0.3272607048066929,0.1254214123006833,0.4339712649208205,0.0784054669703872,0.5128928988753696,0.0456492027334852,0.5808716811428615,0.4364852970353371,0.3894277316982431,0.2970611838188041,0.347380410022779,0.4851936218678815,0.5444191343963554,0.6082004555808656,0.2046697038724373,0.3272607048066929,0.1254214123006833,0.4339712649208205,0.0784054669703872,0.5128928988753696,0.0456492027334852,0.5808716811428615,0.4364852970353371,0.3894265224371249,0.2970580026215095
2,-1,0.3667425968109339,0.5159453302961275,0.5649202733485194,0.623006833712984,0.2218678815489749,0.3510646230788765,0.1367198177676537,0.4743511697168126,0.0843963553530751,0.5536311532993172,0.0486218678815489,0.6215300382730731,0.4574763469215188,0.4214178163406526,0.3256444220328893,0.3667425968109339,0.5159453302961275,0.5649202733485194,0.623006833712984,0.2218678815489749,0.3510646230788765,0.1367198177676537,0.4743511697168126,0.0843963553530751,0.5536311532993172,0.0486218678815489,0.6215300382730731,0.4574763469215188,0.4214189721268574,0.3256450852414232
3,-1,0.3997722095671981,0.5364464692482915,0.5865603644646925,0.6366742596810934,0.2316628701594532,0.3731942426588084,0.1413211845102505,0.4976088738584678,0.0877448747152619,0.5818211567262047,0.0500683371298405,0.6481939944099652,0.4859945283376069,0.4448420496926679,0.3485475329178608,0.398633257403189,0.5364464692482915,0.5865603644646925,0.6366742596810934,0.2316628701594532,0.3731942426588084,0.1413211845102505,0.4976088738584678,0.0877448747152619,0.5818211567262047,0.0500683371298405,0.6481939944099652,0.4854250522556024,0.444748304089574,0.3484894862478567
4,-1,0.3906605922551253,0.5261958997722096,0.5785876993166287,0.6400911161731208,0.2322323462414578,0.375600574144641,0.1442369020501139,0.5104176262446427,0.0879498861047836,0.5869715165247528,0.050501138952164,0.6556934258851453,0.4767144254320078,0.443621905640889,0.3436964634645314,0.3895216400911162,0.5261958997722096,0.5785876993166287,0.6400911161731208,0.2322323462414578,0.375600574144641,0.1442369020501139,0.5104176262446427,0.0879498861047836,0.5869715165247528,0.050501138952164,0.6556934258851453,0.4761449493500033,0.4435280932673619,0.3436360638776842
5,-1,0.4134396355353075,0.5421412300683371,0.5820045558086561,0.6412300683371298,0.2389521640091116,0.3844208323196425,0.146378132118451,0.5189702374409092,0.0884738041002278,0.5976156610808989,0.051002277904328,0.6632757380625026,0.4937682610594943,0.4544070541057149,0.3569386229152413,0.4134396355353075,0.5421412300683371,0.5820045558086561,0.6412300683371298,0.2389521640091116,0.3844208323196425,0.146378132118451,0.5189702374409092,0.0884738041002278,0.5976156610808989,0.051002277904328,0.6632757380625026,0.4937682610594943,0.4544062401702383,0.3569358186769588
6,-1,0.4066059225512528,0.5432801822323462,0.5956719817767654,0.6548974943052391,0.2399772209567198,0.3890362833751804,0.1471526195899772,0.5238350971035964,0.0902961275626423,0.599851267671673,0.0514464692482915,0.6682534325145056,0.4935043922996926,0.4577310384713102,0.360150145717191,0.4066059225512528,0.5432801822323462,0.5956719817767654,0.6548974943052391,0.2399772209567198,0.3890362833751804,0.1471526195899772,0.5238350971035964,0.0902961275626423,0.599851267671673,0.0514464692482915,0.6682534325145056,0.4935043922996926,0.4577363701728284,0.3601555845441768
7,-1,0.4145785876993166,0.5626423690205011,0.6036446469248291,0.6605922551252847,0.2421412300683371,0.3936845110015616,0.1486104783599089,0.5258453823955838,0.0903872437357631,0.6047609513742103,0.0514350797266514,0.6751975989482701,0.502417682567268,0.4631099329707125,0.3671487961025839,0.4145785876993166,0.5626423690205011,0.6036446469248291,0.6605922551252847,0.2421412300683371,0.3936845110015616,0.1486104783599089,0.5258453823955838,0.0903872437357631,0.6047609513742103,0.0514350797266514,0.6751975989482701,0.502417682567268,0.4631085391924754,0.3671453990478074
8,-1,0.4236902050113895,0.5649202733485194,0.6150341685649203,0.662870159453303,0.246127562642369,0.4048628289115685,0.1487471526195899,0.53302536282048,0.0900911161731207,0.6066559521617123,0.051503416856492,0.6760181357723051,0.5096459225859788,0.471254669564239,0.3756193506813816,0.4236902050113895,0.5649202733485194,0.6150341685649203,0.662870159453303,0.246127562642369,0.4048628289115685,0.1487471526195899,0.53302536282048,0.0900911161731207,0.6066559521617123,0.051503416856492,0.6760181357723051,0.5096459225859788,0.4712551577191446,0.3756200994993724
9,-1,0.4236902050113895,0.5649202733485194,0.6093394077448747,0.6571753986332574,0.2494305239179954,0.4075582590853305,0.1489293849658314,0.5323207974208695,0.0908428246013667,0.6057784123821393,0.0520159453302961,0.6790212434258912,0.5101496270434793,0.4744314869484205,0.3806548768255456,0.4236902050113895,0.5649202733485194,0.6093394077448747,0.6571753986332574,0.2494305239179954,0.4075582590853305,0.1489749430523918,0.5323877946069876,0.0908428246013667,0.6057784123821393,0.0520159453302961,0.6790212434258912,0.5101496270434793,0.4744429278443292,0.3806641924060063
10,-1,0.4157175398633257,0.5637813211845103,0.6184510250569476,0.6674259681093394,0.2462414578587699,0.4091567152238849,0.1483371298405467,0.5317518457288296,0.0911389521640091,0.6113894507458391,0.0517995444191344,0.6789401778122889,0.506330578481331,0.4748982759043195,0.3795024978700152,0.4157175398633257,0.5637813211845103,0.6184510250569476,0.6674259681093394,0.2462414578587699,0.4091567152238849,0.1483371298405467,0.5317518457288296,0.0911389521640091,0.6113894507458391,0.0517995444191344,0.6789401778122889,0.506330578481331,0.4748869253640055,0.3794923405064979
11,-1,0.4271070615034169,0.5694760820045558,0.6127562642369021,0.673120728929385,0.2528473804100228,0.4179505830775632,0.1525284738041002,0.5435119308206325,0.0926195899772209,0.6172383757097553,0.0524487471526196,0.682710882369518,0.5147106962171673,0.4812369956849986,0.3880353061026349,0.4271070615034169,0.5694760820045558,0.6127562642369021,0.673120728929385,0.2528473804100228,0.4179505830775632,0.1525284738041002,0.5435119308206325,0.0926195899772209,0.6172383757097553,0.0524487471526196,0.682710882369518,0.5147106962171673,0.4812447994098048,0.3880494891964237
12,-1,0.4339407744874715,0.5580865603644647,0.6082004555808656,0.6674259681093394,0.2452164009111617,0.4079088810396308,0.1502050113895216,0.5372458167637528,0.0917995444191344,0.6164945694298322,0.052380410022779,0.6871215589185979,0.513689680230123,0.4791348776447827,0.3835175036860605,0.4339407744874715,0.5580865603644647,0.6082004555808656,0.6674259681093394,0.2452164009111617,0.4079088810396308,0.1502050113895216,0.5372458167637528,0.0917995444191344,0.6164945694298322,0.052380410022779,0.6871215589185979,0.513689680230123,0.4791370852023568,0.3835213652511679
13,-1,0.4225512528473804,0.5763097949886105,0.6104783599088838,0.6651480637813212,0.2474943052391799,0.4073236763400323,0.1513439635535307,0.5413850253833764,0.0928701594533029,0.6206808067390924,0.0524373576309795,0.6864366054228325,0.5107193536876851,0.47831936835296,0.382841112541711,0.4225512528473804,0.5763097949886105,0.6104783599088838,0.6651480637813212,0.2474943052391799,0.4073236763400323,0.1513439635535307,0.5413850253833764,0.0928701594533029,0.6206808067390924,0.0524373576309795,0.6864366054228325,0.5107193536876851,0.47831974367638,0.3828421012154644
